Sector,Performance,Direction
NIFTY_CONSUMER,-0.7656470583107599,DOWN
NIFTY_HEALTHCARE,-1.6103975380735822,DOWN
NIFTY_CONSUMPTION,-2.747892002951861,DOWN
NIFTY_PHARMA,-2.933668324335605,DOWN
NIFTY_IT,-3.0106964827377416,DOWN
NIFTY_MEDIA,-3.075449134287878,DOWN
NIFTY_ENERGY,-3.8455656730088372,DOWN
NIFTY_METAL,-4.156758287788503,DOWN
NIFTY_AUTO,-4.269971471394874,DOWN
NIFTY_OIL_AND_GAS,-4.487044657729767,DOWN
NIFTY_FIN_SERVICE,-4.678493044018244,DOWN
UNKNOWN,-4.868350673399495,DOWN
NIFTY_REALTY,-4.896526113469652,DOWN
NIFTY_PSU_BANK,-4.920577965559688,DOWN
NIFTY_PVT_BANK,-6.600365528882396,DOWN
NIFTY_BANK,-6.602783735203366,DOWN
