ticker,company_name,current_price,arima_prediction,lstm_prediction,combined_prediction,recommendation,confidence,arima_error,lstm_error,arima_change_pct,lstm_change_pct,combined_change_pct,combined_explanation,models_agree,sector,sector_avg_change,relative_to_sector,category
WIPRO.NS,Wipro,234.14999389648438,238.06662888862382,240.79483032226562,239.43072960544472,BUY,85.0,5.562048246697905,11.307628510569648,1.6727034355042347,2.8378546226735644,2.255279029088899,"Combined models predict a moderate 2.26% price increase (ARIMA: 1.67%, LSTM: 2.84% - both models agree on direction)",True,NIFTY_IT,-2.9735056682166348,5.228784697305533,BUY
SUNTV.NS,Suntv,652.7999877929688,669.4904773396462,665.040283203125,667.2653802713855,BUY,85.0,11.817223487073827,24.668048981247992,2.556753961210355,1.8750452878436907,2.215899624527014,"Combined models predict a moderate 2.22% price increase (ARIMA: 2.56%, LSTM: 1.88% - both models agree on direction)",True,NIFTY_MEDIA,-3.3988600631688803,5.614759687695894,BUY
VBL.NS,Vbl,549.4500122070312,554.299794036084,558.2530517578125,556.2764228969482,BUY,85.0,12.626048904806618,30.864499223805705,0.8826611559388517,1.6021547648022054,1.2424079603705287,"Combined models predict a moderate 1.24% price increase (ARIMA: 0.88%, LSTM: 1.60% - both models agree on direction)",True,NIFTY_CONSUMER,-1.6090028704161978,2.8514108307867265,BUY
NTPC.NS,Ntpc,360.25,363.6083687862976,365.43450927734375,364.5214390318207,BUY,85.0,6.041551412652062,15.34766712248674,0.9322328345031515,1.4391420617192923,1.1856874481112298,"Combined models predict a moderate 1.19% price increase (ARIMA: 0.93%, LSTM: 1.44% - both models agree on direction)",True,NIFTY_ENERGY,-1.7019865844751052,2.887674032586335,BUY
DIXON.NS,Dixon,16675.0,15273.286873077344,14239.8974609375,14756.592167007422,STRONG SELL,95.0,494.289865485957,1010.7585302419202,-8.406075723674098,-14.603313577586208,-11.504694650630151,"Combined models predict a significant 11.50% price decrease (ARIMA: -8.41%, LSTM: -14.60% - both models agree on direction)",True,NIFTY_CONSUMPTION,-4.548814137970733,-6.9558805126594185,SELL
PRESTIGE.NS,Prestige,1303.9000244140625,1222.5072887832946,1149.8221435546875,1186.1647161689912,STRONG SELL,95.0,38.989999801475044,88.46681288165188,-6.242252788310484,-11.816694376442967,-9.029473582376717,"Combined models predict a significant 9.03% price decrease (ARIMA: -6.24%, LSTM: -11.82% - both models agree on direction)",True,NIFTY_REALTY,-5.850167894213401,-3.179305688163316,SELL
LODHA.NS,Lodha,1313.4000244140625,1232.3962384379347,1162.310546875,1197.3533926564673,STRONG SELL,95.0,38.195742296232545,81.56218315103236,-6.1674877775539425,-11.50369078198144,-8.835589279767692,"Combined models predict a significant 8.84% price decrease (ARIMA: -6.17%, LSTM: -11.50% - both models agree on direction)",True,NIFTY_REALTY,-5.850167894213401,-2.9854213855542913,SELL
HDFCAMC.NS,Hdfcamc,4509.60009765625,4190.9222704590875,4075.950439453125,4133.436354956106,STRONG SELL,95.0,84.77529769140469,187.86799650654856,-7.066653811782274,-9.616144421065261,-8.341399116423776,"Combined models predict a significant 8.34% price decrease (ARIMA: -7.07%, LSTM: -9.62% - both models agree on direction)",True,NIFTY_FIN_SERVICE,-3.17002888456355,-5.171370231860227,SELL
IDFCFIRSTB.NS,Idfcfirstb,67.19999694824219,62.78544897169736,61.657264709472656,62.22135684058501,STRONG SELL,95.0,1.3284848095323878,2.4742279323292276,-6.569268120569907,-8.248113825122008,-7.408690972845958,"Combined models predict a significant 7.41% price decrease (ARIMA: -6.57%, LSTM: -8.25% - both models agree on direction)",True,NIFTY_BANK,-4.726467329396363,-2.6822236434495945,SELL
BANDHANBNK.NS,Bandhanbnk,168.5399932861328,158.88338724010262,153.40530395507812,156.14434559759036,STRONG SELL,95.0,3.30233684417145,7.207033748102494,-5.729563563964328,-8.979880107957703,-7.3547218359610245,"Combined models predict a significant 7.35% price decrease (ARIMA: -5.73%, LSTM: -8.98% - both models agree on direction)",True,NIFTY_PVT_BANK,-5.693640081668135,-1.6610817542928897,SELL
OIL.NS,Oil,404.0,385.6651804040099,363.6867370605469,374.6759587322784,STRONG SELL,95.0,10.935298743066307,23.90553069082074,-4.538321682175766,-9.978530430557704,-7.258426056366736,"Combined models predict a significant 7.26% price decrease (ARIMA: -4.54%, LSTM: -9.98% - both models agree on direction)",True,NIFTY_OIL_AND_GAS,-3.9857281883459854,-3.272697868020751,SELL
MUTHOOTFIN.NS,Muthootfin,2272.699951171875,2118.145721493089,2116.927978515625,2117.536850004357,STRONG SELL,95.0,46.130420018781926,86.3482582798278,-6.800467857584685,-6.854049192720275,-6.827258525152481,"Combined models predict a significant 6.83% price decrease (ARIMA: -6.80%, LSTM: -6.85% - both models agree on direction)",True,NIFTY_FIN_SERVICE,-3.17002888456355,-3.6572296405889313,SELL
METROPOLIS.NS,Metropolis,1752.699951171875,1655.055231330975,1617.205078125,1636.1301547279875,STRONG SELL,95.0,32.352477753703205,72.63305169569253,-5.571103015984778,-7.73063712110459,-6.650870068544684,"Combined models predict a significant 6.65% price decrease (ARIMA: -5.57%, LSTM: -7.73% - both models agree on direction)",True,NIFTY_HEALTHCARE,-2.828966500368882,-3.821903568175802,SELL
HINDCOPPER.NS,Hindcopper,224.49000549316406,211.0596273353068,208.0812530517578,209.5704401935323,STRONG SELL,95.0,6.712142229047114,15.42059201535234,-5.982617412455911,-7.309346536545883,-6.645981974500896,"Combined models predict a significant 6.65% price decrease (ARIMA: -5.98%, LSTM: -7.31% - both models agree on direction)",True,NIFTY_METAL,-3.8685318731114844,-2.7774501013894115,SELL
