Sector,Performance,Direction
NIFTY_IT,3.8696730885065778,UP
NIFTY_REALTY,2.740378385376806,UP
NIFTY_PSU_BANK,2.1282439078313677,UP
NIFTY_METAL,1.997281322520305,UP
NIFTY_PHARMA,1.081815494120329,UP
UNKNOWN,0.8991900202202223,UP
NIFTY_FIN_SERVICE,0.8852470091133887,UP
NIFTY_OIL_AND_GAS,0.5844314292767782,UP
NIFTY_AUTO,0.2723308022109375,UP
NIFTY_PVT_BANK,-0.7834993346421397,DOWN
NIFTY_MEDIA,-0.8421930547771421,DOWN
NIFTY_ENERGY,-0.8683589522072237,DOWN
NIFTY_BANK,-0.9991017210096843,DOWN
NIFTY_CONSUMPTION,-2.0273282998449136,DOWN
NIFTY_HEALTHCARE,-2.4404825804541717,DOWN
NIFTY_CONSUMER,-2.664964349095658,DOWN
