Sector,Performance,Direction
NIFTY_IT,-1.2444775337146932,DOWN
NIFTY_PSU_BANK,-1.5290285718454637,DOWN
NIFTY_HEALTHCARE,-2.109382516651404,DOWN
NIFTY_OIL_AND_GAS,-2.135644283770605,DOWN
NIFTY_CONSUMER,-2.4754051888710342,DOWN
UNKNOWN,-2.749001635383017,DOWN
NIFTY_FIN_SERVICE,-2.952781361214169,DOWN
NIFTY_PHARMA,-3.0662496489898325,DOWN
NIFTY_CONSUMPTION,-3.133976182929416,DOWN
NIFTY_ENERGY,-3.1722293088943783,DOWN
NIFTY_METAL,-3.4461985646006053,DOWN
NIFTY_BANK,-3.869858209288791,DOWN
NIFTY_PVT_BANK,-4.140509791941223,DOWN
NIFTY_AUTO,-4.489854980995634,DOWN
NIFTY_MEDIA,-4.495480228478617,DOWN
NIFTY_REALTY,-4.562564401917896,DOWN
