ticker,company_name,current_price,arima_prediction,lstm_prediction,combined_prediction,recommendation,confidence,arima_error,lstm_error,arima_change_pct,lstm_change_pct,combined_change_pct,combined_explanation,models_agree,sector,sector_avg_change,relative_to_sector,category
BPCL.NS,Bpcl,300.45001220703125,303.824751731154,308.7222900390625,306.27352088510827,BUY,85.0,4.564822489828798,15.98020359291637,1.1232282865734406,2.7532958881463006,1.9382620873598801,"Combined models predict a moderate 1.94% price increase (ARIMA: 1.12%, LSTM: 2.75% - both models agree on direction)",True,NIFTY_OIL_AND_GAS,-1.8912135561859365,3.8294756435458166,BUY
HUDCO.NS,Hudco,231.4499969482422,234.2573923761522,237.4287109375,235.8430516568261,BUY,85.0,6.308258136162173,20.313422514662477,1.2129598033815592,2.5831557866016293,1.8980577949915942,"Combined models predict a moderate 1.90% price increase (ARIMA: 1.21%, LSTM: 2.58% - both models agree on direction)",True,UNKNOWN,-1.4492132134152351,3.347271008406829,BUY
M&MFIN.NS,M&mfin,269.8999938964844,275.77945756830707,272.6042785644531,274.1918680663801,BUY,85.0,5.515590270418424,9.546627845579666,2.178385996584224,1.001958032279887,1.5901720144320557,"Combined models predict a moderate 1.59% price increase (ARIMA: 2.18%, LSTM: 1.00% - both models agree on direction)",True,NIFTY_FIN_SERVICE,-1.7462921687070978,3.3364641831391535,BUY
VOLTAS.NS,Voltas,1299.0,1317.6013419661147,1304.0694580078125,1310.8353999869637,HOLD,80.0,40.87949208929244,86.38864123413417,1.4319739773760323,0.39025850714491916,0.9111162422604844,"Combined models predict relatively stable price (change: 0.91%) (ARIMA: 1.43%, LSTM: 0.39% - both models agree on direction)",True,NIFTY_CONSUMPTION,-1.6322296176137712,2.5433458598742558,BUY
SUNTV.NS,Suntv,656.4500122070312,660.1243395615494,663.3347778320312,661.7295586967903,HOLD,80.0,11.816711730768056,24.15982269898358,0.559726907790708,1.048787492874428,0.8042572003325593,"Combined models predict relatively stable price (change: 0.80%) (ARIMA: 0.56%, LSTM: 1.05% - both models agree on direction)",True,NIFTY_MEDIA,-2.993277390201679,3.797534590534238,BUY
IOC.NS,Ioc,137.64999389648438,138.58640408286863,138.4734649658203,138.52993452434447,HOLD,80.0,2.3291026276882607,6.422820248089805,0.6802834928481365,0.5982354564833506,0.6392594746657435,"Combined models predict relatively stable price (change: 0.64%) (ARIMA: 0.68%, LSTM: 0.60% - both models agree on direction)",True,NIFTY_OIL_AND_GAS,-1.8912135561859365,2.53047303085168,BUY
COFORGE.NS,Coforge,7392.0,6983.533054283406,6456.8173828125,6720.175218547953,STRONG SELL,95.0,224.60711677532623,491.739011207,-5.52579742581972,-12.651279994419642,-9.088538710119689,"Combined models predict a significant 9.09% price decrease (ARIMA: -5.53%, LSTM: -12.65% - both models agree on direction)",True,NIFTY_IT,-5.083128834529356,-4.005409875590333,SELL
HCLTECH.NS,Hcltech,1594.0,1480.3758860395692,1436.5045166015625,1458.4402013205658,STRONG SELL,95.0,33.302829069528194,71.25205020533576,-7.128238015083488,-9.880519661131586,-8.504378838107538,"Combined models predict a significant 8.50% price decrease (ARIMA: -7.13%, LSTM: -9.88% - both models agree on direction)",True,NIFTY_IT,-5.083128834529356,-3.421250003578182,SELL
LODHA.NS,Lodha,1366.4000244140625,1303.9278639205452,1205.28173828125,1254.6048011008975,STRONG SELL,95.0,38.6177180852506,82.13711237048167,-4.572025715551823,-11.791443446578025,-8.181734581064932,"Combined models predict a significant 8.18% price decrease (ARIMA: -4.57%, LSTM: -11.79% - both models agree on direction)",True,NIFTY_REALTY,-5.419861722613225,-2.7618728584517065,SELL
PRESTIGE.NS,Prestige,1323.800048828125,1265.7039404148895,1184.433837890625,1225.0688891527573,STRONG SELL,95.0,38.058238888112264,90.03573904607576,-4.388586362771645,-10.527738766958947,-7.4581625648652965,"Combined models predict a significant 7.46% price decrease (ARIMA: -4.39%, LSTM: -10.53% - both models agree on direction)",True,NIFTY_REALTY,-5.419861722613225,-2.038300842252071,SELL
