Sector,Performance,Direction
UNKNOWN,-1.4492132134152351,DOWN
NIFTY_CONSUMPTION,-1.6322296176137712,DOWN
NIFTY_FIN_SERVICE,-1.7462921687070978,DOWN
NIFTY_ENERGY,-1.8395679225155235,DOWN
NIFTY_OIL_AND_GAS,-1.8912135561859365,DOWN
NIFTY_BANK,-2.2079361603519763,DOWN
NIFTY_METAL,-2.3566633266952786,DOWN
NIFTY_PSU_BANK,-2.437618474819485,DOWN
NIFTY_PVT_BANK,-2.6388609465027995,DOWN
NIFTY_PHARMA,-2.932650255611745,DOWN
NIFTY_CONSUMER,-2.941034377394533,DOWN
NIFTY_HEALTHCARE,-2.9585337298806875,DOWN
NIFTY_MEDIA,-2.993277390201679,DOWN
NIFTY_AUTO,-3.744260364644478,DOWN
NIFTY_IT,-5.083128834529356,DOWN
NIFTY_REALTY,-5.419861722613225,DOWN
