Sector,Performance,Direction
NIFTY_IT,-0.5462370893059189,DOWN
NIFTY_PHARMA,-1.3762589633049755,DOWN
NIFTY_CONSUMPTION,-2.297262455532693,DOWN
NIFTY_AUTO,-2.4105468835075885,DOWN
NIFTY_CONSUMER,-2.4543055547491175,DOWN
NIFTY_ENERGY,-2.692704934217604,DOWN
NIFTY_HEALTHCARE,-2.7061213735379246,DOWN
NIFTY_OIL_AND_GAS,-2.7393639616494494,DOWN
NIFTY_METAL,-2.7549885523670716,DOWN
NIFTY_FIN_SERVICE,-3.3096123136744873,DOWN
NIFTY_REALTY,-3.337710758944199,DOWN
UNKNOWN,-3.6519614576268826,DOWN
NIFTY_MEDIA,-3.836633186931115,DOWN
NIFTY_PSU_BANK,-4.235095932431605,DOWN
NIFTY_PVT_BANK,-4.811431072871403,DOWN
NIFTY_BANK,-5.590144222903092,DOWN
