Sector,Performance,Direction
NIFTY_IT,-1.630423260905474,DOWN
NIFTY_PHARMA,-1.8760180117929566,DOWN
NIFTY_OIL_AND_GAS,-2.7555361731996912,DOWN
NIFTY_CONSUMER,-2.8828868847158464,DOWN
NIFTY_METAL,-2.930422607705642,DOWN
NIFTY_CONSUMPTION,-2.9520799704669165,DOWN
NIFTY_AUTO,-3.5821896382810374,DOWN
NIFTY_HEALTHCARE,-3.6333997841716354,DOWN
UNKNOWN,-3.668033412373901,DOWN
NIFTY_ENERGY,-3.68089180386474,DOWN
NIFTY_FIN_SERVICE,-3.69500466126711,DOWN
NIFTY_PSU_BANK,-4.25858291774973,DOWN
NIFTY_PVT_BANK,-4.9388822552362805,DOWN
NIFTY_BANK,-5.375445585997545,DOWN
NIFTY_REALTY,-5.429375744276179,DOWN
NIFTY_MEDIA,-5.868566821640671,DOWN
