ticker,company_name,current_price,arima_prediction,lstm_prediction,combined_prediction,recommendation,confidence,arima_error,lstm_error,arima_change_pct,lstm_change_pct,combined_change_pct,combined_explanation,models_agree,sentiment_signal,sentiment_score,sentiment_confidence,news_count,technical_signal,enhanced_recommendation,enhanced_confidence,agreement_status,original_recommendation,original_confidence,sector,sector_avg_change,relative_to_sector
NATIONALUM.NS,Nationalum,192.25,189.84984791774266,191.2128143310547,190.53133112439866,HOLD,80.0,4.757079679939677,9.936475580870997,-1.2484536188594721,-0.5394983973707738,-0.8939760081151304,"Combined models predict relatively stable price (change: -0.89%) (ARIMA: -1.25%, LSTM: -0.54% - both models agree on direction)",True,NEUTRAL,0.0,40.0,0,SELL,HOLD,80.0,TECHNICAL_ONLY,HOLD,80.0,NIFTY_METAL,-0.9609851203222785,0.067009112207148
SAIL.NS,Sail,136.5,132.7999900830683,132.47946166992188,132.6397258764951,SELL,85.0,2.7157792852802607,4.711867759468175,-2.710629975774133,-2.9454493260645602,-2.828039650919336,"Combined models predict a moderate 2.83% price decrease (ARIMA: -2.71%, LSTM: -2.95% - both models agree on direction)",True,NEUTRAL,0.0,40.0,0,SELL,SELL,85.0,TECHNICAL_ONLY,SELL,85.0,NIFTY_METAL,-0.9609851203222785,-1.8670545305970578
TATASTEEL.NS,Tatasteel,165.91000366210938,159.8813572705996,161.02484130859375,160.45309928959668,STRONG SELL,90.0,3.051109635240946,6.842114518429691,-3.6336846835273695,-2.94446521950822,-3.2890749515177955,"Combined models predict a significant 3.29% price decrease (ARIMA: -3.63%, LSTM: -2.94% - both models agree on direction)",True,NEUTRAL,0.0,40.0,2,SELL,STRONG SELL,95.0,TECHNICAL_ONLY,STRONG SELL,95.0,NIFTY_METAL,-0.9609851203222785,-2.328089831195517
APLAPOLLO.NS,Aplapollo,1729.199951171875,1759.4531290160016,1730.3206787109375,1744.8869038634696,HOLD,80.0,29.31838346067444,67.3180003253048,1.7495476924819553,0.06481191132945531,0.9071798019057054,"Combined models predict relatively stable price (change: 0.91%) (ARIMA: 1.75%, LSTM: 0.06% - both models agree on direction)",True,NEUTRAL,0.0,50.0,0,BUY,HOLD,80.0,TECHNICAL_ONLY,HOLD,80.0,NIFTY_METAL,-0.9609851203222785,1.868164922227984
COALINDIA.NS,Coalindia,386.45001220703125,390.0534152290141,398.4019775390625,394.22769638403827,BUY,85.0,5.155348031473667,11.909600569454607,0.9324370314814239,3.092758430456013,2.012597730968711,"Combined models predict a moderate 2.01% price increase (ARIMA: 0.93%, LSTM: 3.09% - both models agree on direction)",True,NEUTRAL,0.0,40.0,1,BUY,BUY,85.0,TECHNICAL_ONLY,BUY,85.0,NIFTY_METAL,-0.9609851203222785,2.973582851290989
JINDALSTEL.NS,Jindalstel,956.5,952.1447999103145,938.2432861328125,945.1940430215635,SELL,85.0,17.339979268602207,40.400677481817354,-0.45532672134714774,-1.908699829292995,-1.1820132753200716,"Combined models predict a moderate 1.18% price decrease (ARIMA: -0.46%, LSTM: -1.91% - both models agree on direction)",True,NEUTRAL,0.0,40.0,0,SELL,SELL,85.0,TECHNICAL_ONLY,SELL,85.0,NIFTY_METAL,-0.9609851203222785,-0.22102815499779316
JSWSTEEL.NS,Jswsteel,1046.0999755859375,1026.5200858153428,1019.4100341796875,1022.9650599975151,SELL,85.0,18.689650227155276,35.34918950319651,-1.8717034917841102,-2.5513757794804013,-2.211539635632256,"Combined models predict a moderate 2.21% price decrease (ARIMA: -1.87%, LSTM: -2.55% - both models agree on direction)",True,NEUTRAL,0.0,40.0,1,SELL,SELL,85.0,TECHNICAL_ONLY,SELL,85.0,NIFTY_METAL,-0.9609851203222785,-1.2505545153099775
BATAINDIA.NS,Bataindia,1231.0999755859375,1232.5593686377242,1231.7022705078125,1232.1308195727684,HOLD,80.0,18.848285593142148,31.407657731849927,0.11854382915507139,0.048923315231838904,0.08373357219345515,"Combined models predict relatively stable price (change: 0.08%) (ARIMA: 0.12%, LSTM: 0.05% - both models agree on direction)",True,NEUTRAL,0.0,50.0,0,BUY,HOLD,80.0,TECHNICAL_ONLY,HOLD,80.0,NIFTY_CONSUMPTION,-0.8510165358224097,0.9347501080158648
TITAN.NS,Titan,3678.699951171875,3693.7957771544948,3712.03125,3702.9135135772476,HOLD,80.0,47.14645809134961,112.25191337612726,0.41035763130969394,0.9060619042199156,0.658209767764811,"Combined models predict relatively stable price (change: 0.66%) (ARIMA: 0.41%, LSTM: 0.91% - both models agree on direction)",True,NEUTRAL,0.0,40.0,0,BUY,HOLD,80.0,TECHNICAL_ONLY,HOLD,80.0,NIFTY_CONSUMPTION,-0.8510165358224097,1.5092263035872207
HAVELLS.NS,Havells,1572.5999755859375,1547.6256968997832,1566.8763427734375,1557.2510198366103,HOLD,80.0,25.35132263402886,50.65102775878281,-1.5880884569420852,-0.36395986909305544,-0.9760241630175702,"Combined models predict relatively stable price (change: -0.98%) (ARIMA: -1.59%, LSTM: -0.36% - both models agree on direction)",True,NEUTRAL,0.0,40.0,0,SELL,HOLD,80.0,TECHNICAL_ONLY,HOLD,80.0,NIFTY_CONSUMPTION,-0.8510165358224097,-0.12500762719516056
CROMPTON.NS,Cromptom,350.25,351.8566717655308,352.31573486328125,352.086203314406,HOLD,80.0,6.271000385795689,11.707241330344353,0.45872141771043284,0.5897886833065668,0.5242550505084999,"Combined models predict relatively stable price (change: 0.52%) (ARIMA: 0.46%, LSTM: 0.59% - both models agree on direction)",True,NEUTRAL,0.0,40.0,0,BUY,HOLD,80.0,TECHNICAL_ONLY,HOLD,80.0,NIFTY_CONSUMPTION,-0.8510165358224097,1.3752715863309095
VOLTAS.NS,Voltas,1367.0,1327.2023638062185,1303.4727783203125,1315.3375710632654,STRONG SELL,90.0,28.66651373878371,54.78429378935314,-2.9113120844024505,-4.647199830262435,-3.7792559573324516,"Combined models predict a significant 3.78% price decrease (ARIMA: -2.91%, LSTM: -4.65% - both models agree on direction)",True,NEUTRAL,0.0,50.0,0,SELL,STRONG SELL,95.0,TECHNICAL_ONLY,STRONG SELL,95.0,NIFTY_CONSUMPTION,-0.8510165358224097,-2.928239421510042
DIXON.NS,Dixon,15074.0,14689.375592044265,14971.1259765625,14830.250784303382,SELL,85.0,367.14052866199006,935.5083291705328,-2.5515749499518012,-0.6824600201505904,-1.617017485051202,"Combined models predict a moderate 1.62% price decrease (ARIMA: -2.55%, LSTM: -0.68% - both models agree on direction)",True,NEUTRAL,0.0,40.0,0,SELL,SELL,85.0,TECHNICAL_ONLY,SELL,85.0,NIFTY_CONSUMPTION,-0.8510165358224097,-0.7660009492287924
TIINDIA.NS,Tiindia,2952.800048828125,3094.713069743633,3038.86474609375,3066.7889079186916,STRONG BUY,90.0,66.6786543690743,149.7810612224632,4.806049125196563,2.914680839963458,3.8603649825800184,"Combined models predict a significant 3.86% price increase (ARIMA: 4.81%, LSTM: 2.91% - both models agree on direction)",True,NEUTRAL,0.0,50.0,0,BUY,STRONG BUY,95.0,TECHNICAL_ONLY,STRONG BUY,95.0,NIFTY_AUTO,-1.0239976109115636,4.884362593491582
TVSMOTOR.NS,Tvsmotor,2899.199951171875,2887.420944195081,2872.570556640625,2879.995750417853,HOLD,80.0,44.78538697454542,95.50965459676337,-0.4062847397618343,-0.9185083809237176,-0.6623965603427838,"Combined models predict relatively stable price (change: -0.66%) (ARIMA: -0.41%, LSTM: -0.92% - both models agree on direction)",True,NEUTRAL,0.0,40.0,0,SELL,HOLD,80.0,TECHNICAL_ONLY,HOLD,80.0,NIFTY_AUTO,-1.0239976109115636,0.3616010505687798
TATAMOTORS.NS,Tatamotors,690.4000244140625,683.2312846663564,682.5221557617188,682.8767202140375,SELL,85.0,13.099277827743911,31.904011879345354,-1.0383458131813053,-1.1410585709393102,-1.089702192060316,"Combined models predict a moderate 1.09% price decrease (ARIMA: -1.04%, LSTM: -1.14% - both models agree on direction)",True,SELL,-0.23858331388282772,76.2433322109454,10,SELL,STRONG SELL,95.0,BEARISH_AGREEMENT,SELL,85.0,NIFTY_AUTO,-1.0239976109115636,-0.06570458114875244
EXIDEIND.NS,Exideind,382.8999938964844,385.4624309635395,386.9898681640625,386.22614956380096,HOLD,80.0,6.2569652108338,11.920365207459167,0.6692183619485368,1.0681311916353302,0.8686747767919261,"Combined models predict relatively stable price (change: 0.87%) (ARIMA: 0.67%, LSTM: 1.07% - both models agree on direction)",True,NEUTRAL,0.0,40.0,0,BUY,HOLD,80.0,TECHNICAL_ONLY,HOLD,80.0,NIFTY_AUTO,-1.0239976109115636,1.8926723877034897
MARUTI.NS,Maruti,12752.0,12446.65511631862,12648.54296875,12547.59904253431,SELL,85.0,144.55597569431785,307.9874783644513,-2.3944862271124565,-0.8113004332653702,-1.6028933301889134,"Combined models predict a moderate 1.60% price decrease (ARIMA: -2.39%, LSTM: -0.81% - both models agree on direction)",True,NEUTRAL,0.1455118810892105,50.0,4,SELL,SELL,85.0,TECHNICAL_ONLY,SELL,85.0,NIFTY_AUTO,-1.0239976109115636,-0.5788957192773498
BHARATFORG.NS,Bharatforg,1298.699951171875,1284.9608255020207,1287.5579833984375,1286.259404450229,HOLD,80.0,26.36901237876611,60.63367161909287,-1.057913774267632,-0.857932408743344,-0.957923091505488,"Combined models predict relatively stable price (change: -0.96%) (ARIMA: -1.06%, LSTM: -0.86% - both models agree on direction)",True,NEUTRAL,0.0,40.0,0,SELL,HOLD,80.0,TECHNICAL_ONLY,HOLD,80.0,NIFTY_AUTO,-1.0239976109115636,0.06607451940607556
BOSCHLTD.NS,Boschltd,34405.0,32332.620460259066,32483.447265625,32408.033862942033,STRONG SELL,95.0,436.5241200986175,882.064719267518,-6.023483620813643,-5.585097324153466,-5.8042904724835545,"Combined models predict a significant 5.80% price decrease (ARIMA: -6.02%, LSTM: -5.59% - both models agree on direction)",True,NEUTRAL,0.0,40.0,0,SELL,STRONG SELL,95.0,TECHNICAL_ONLY,STRONG SELL,95.0,NIFTY_AUTO,-1.0239976109115636,-4.780292861571991
MRF.NS,Mrf,144920.0,142494.45838428434,138671.609375,140583.03387964217,SELL,85.0,1813.1536344974595,5134.245227487951,-1.6737107478026898,-4.3116137351642285,-2.992662241483459,"Combined models predict a moderate 2.99% price decrease (ARIMA: -1.67%, LSTM: -4.31% - both models agree on direction)",True,NEUTRAL,0.0,50.0,0,SELL,SELL,85.0,TECHNICAL_ONLY,SELL,85.0,NIFTY_AUTO,-1.0239976109115636,-1.9686646305718956
