ticker,company_name,current_price,arima_prediction,lstm_prediction,combined_prediction,recommendation,confidence,arima_error,lstm_error,arima_change_pct,lstm_change_pct,combined_change_pct,combined_explanation,models_agree,sentiment_signal,sentiment_score,sentiment_confidence,news_count,technical_signal,enhanced_recommendation,enhanced_confidence,agreement_status,original_recommendation,original_confidence,sector,sector_avg_change,relative_to_sector,category
NETWORK18.NS,Network18,57.02000045776367,59.50544688945326,60.92802810668945,60.21673749807135,STRONG BUY,95.0,1.554118705729008,3.6538518425233586,4.358902861690836,6.853783966242806,5.6063434139668145,"Combined models predict a significant 5.61% price increase (ARIMA: 4.36%, LSTM: 6.85% - both models agree on direction)",True,NEUTRAL,0.0,50,0,BUY,STRONG BUY,95.0,TECHNICAL_ONLY,STRONG BUY,95.0,NIFTY_MEDIA,1.041343332979637,4.565000080987177,BUY
CHOLAFIN.NS,Cholafin,1554.5999755859375,1627.2919657414416,1612.5789794921875,1619.9354726168144,STRONG BUY,90.0,34.72855143256377,58.92591762334155,4.67592893973294,3.7295127246092608,4.202720832171093,"Combined models predict a significant 4.20% price increase (ARIMA: 4.68%, LSTM: 3.73% - both models agree on direction)",True,NEUTRAL,0.0,40,0,BUY,STRONG BUY,95.0,TECHNICAL_ONLY,STRONG BUY,95.0,NIFTY_FIN_SERVICE,0.4236432874827213,3.7790775446883718,BUY
PRESTIGE.NS,Prestige,1601.5999755859375,1650.3018926125803,1681.0015869140625,1665.6517397633215,STRONG BUY,90.0,35.49189807728349,81.7405194598328,3.0408290315330126,4.957643140514929,3.999236086023978,"Combined models predict a significant 4.00% price increase (ARIMA: 3.04%, LSTM: 4.96% - both models agree on direction)",True,NEUTRAL,0.0,40,0,BUY,STRONG BUY,95.0,TECHNICAL_ONLY,STRONG BUY,95.0,NIFTY_REALTY,2.1581511627452046,1.8410849232787734,BUY
NMDC.NS,Nmdc,68.0199966430664,69.9680093590079,71.14264678955078,70.55532807427934,STRONG BUY,90.0,1.4634519327901077,3.194217193531178,2.863882405292735,4.5907825648249005,3.727332485058828,"Combined models predict a significant 3.73% price increase (ARIMA: 2.86%, LSTM: 4.59% - both models agree on direction)",True,NEUTRAL,0.0,40,0,BUY,STRONG BUY,95.0,TECHNICAL_ONLY,STRONG BUY,95.0,NIFTY_METAL,-1.8722402562074265,5.599572741266254,BUY
UNITDSPR.NS,Unitdspr,1383.4000244140625,1426.5673213147734,1435.6947021484375,1431.1310117316054,STRONG BUY,90.0,24.156996718706306,54.23532889919702,3.1203770521107472,3.7801559065697106,3.450266479340229,"Combined models predict a significant 3.45% price increase (ARIMA: 3.12%, LSTM: 3.78% - both models agree on direction)",True,NEUTRAL,0.0,40,0,BUY,STRONG BUY,95.0,TECHNICAL_ONLY,STRONG BUY,95.0,NIFTY_CONSUMER,0.8868615410142037,2.563404938326025,BUY
M&MFIN.NS,M&mfin,261.75,270.4334189847122,270.6870422363281,270.5602306105202,STRONG BUY,90.0,5.329613765496856,10.136242230593231,3.317447558629304,3.4143427836974687,3.3658951711633973,"Combined models predict a significant 3.37% price increase (ARIMA: 3.32%, LSTM: 3.41% - both models agree on direction)",True,NEUTRAL,0.0,40,0,BUY,STRONG BUY,95.0,TECHNICAL_ONLY,STRONG BUY,95.0,NIFTY_FIN_SERVICE,0.4236432874827213,2.942251883680676,BUY
ZEEL.NS,Zeel,141.00999450683594,145.27320678696034,146.1128692626953,145.69303802482784,STRONG BUY,90.0,3.5672493856995264,6.521928335701529,3.023340505071598,3.6188035987846208,3.321072051928119,"Combined models predict a significant 3.32% price increase (ARIMA: 3.02%, LSTM: 3.62% - both models agree on direction)",True,NEUTRAL,0.0,40,1,BUY,STRONG BUY,95.0,TECHNICAL_ONLY,STRONG BUY,95.0,NIFTY_MEDIA,1.041343332979637,2.279728718948482,BUY
RECLTD.NS,Recltd,395.5,402.38333723957595,413.76763916015625,408.0754881998661,STRONG BUY,90.0,10.004869012289971,23.88647976293006,1.7404139670229963,4.618872101177307,3.179643034100145,"Combined models predict a significant 3.18% price increase (ARIMA: 1.74%, LSTM: 4.62% - both models agree on direction)",True,NEUTRAL,0.0,40,0,BUY,STRONG BUY,95.0,TECHNICAL_ONLY,STRONG BUY,95.0,NIFTY_FIN_SERVICE,0.4236432874827213,2.7559997466174235,BUY
OIL.NS,Oil,435.8999938964844,438.12351454257157,457.7861022949219,447.9548084187467,BUY,85.0,9.429792999077469,26.767850121791394,0.5100988018401366,5.020901285819911,2.765500043830024,"Combined models predict a moderate 2.77% price increase (ARIMA: 0.51%, LSTM: 5.02% - both models agree on direction)",True,NEUTRAL,0.0,40,1,BUY,BUY,85.0,TECHNICAL_ONLY,BUY,85.0,NIFTY_OIL_AND_GAS,-1.4072933377943193,4.172793381624343,BUY
VBL.NS,Vbl,453.04998779296875,457.8788147117269,473.2338562011719,465.55633545644935,BUY,85.0,11.747001707397049,29.79537369155778,1.065848592620372,4.455108476335859,2.7604785344781093,"Combined models predict a moderate 2.76% price increase (ARIMA: 1.07%, LSTM: 4.46% - both models agree on direction)",True,NEUTRAL,0.0,40,0,BUY,BUY,85.0,TECHNICAL_ONLY,BUY,85.0,NIFTY_CONSUMER,0.8868615410142037,1.8736169934639055,BUY
LAURUSLABS.NS,Lauraslabs,756.75,724.6183830069449,660.1157836914062,692.3670833491756,STRONG SELL,95.0,14.40487334114072,40.845886041004405,-4.246001584810717,-12.76963545538074,-8.507818520095729,"Combined models predict a significant 8.51% price decrease (ARIMA: -4.25%, LSTM: -12.77% - both models agree on direction)",True,NEUTRAL,0.0,40,0,SELL,STRONG SELL,95.0,TECHNICAL_ONLY,STRONG SELL,95.0,NIFTY_PHARMA,-1.6695653975686207,-6.838253122527108,SELL
GUJGASLTD.NS,Gujgasltd,499.3999938964844,475.5196824488418,460.011962890625,467.76582266973344,STRONG SELL,95.0,8.574510915087322,20.86448980250212,-4.781800508510312,-7.887070782388461,-6.334435645449381,"Combined models predict a significant 6.33% price decrease (ARIMA: -4.78%, LSTM: -7.89% - both models agree on direction)",True,NEUTRAL,0.0,40,0,SELL,STRONG SELL,95.0,TECHNICAL_ONLY,STRONG SELL,95.0,NIFTY_OIL_AND_GAS,-1.4072933377943193,-4.927142307655062,SELL
IDFCFIRSTB.NS,Idfcfirstb,77.25,72.71243624391434,72.63127899169922,72.67185761780678,STRONG SELL,95.0,1.3174491232177226,2.586383028419102,-5.873868939916712,-5.978926871586772,-5.926397905751743,"Combined models predict a significant 5.93% price decrease (ARIMA: -5.87%, LSTM: -5.98% - both models agree on direction)",True,NEUTRAL,0.0,40,0,SELL,STRONG SELL,95.0,TECHNICAL_ONLY,STRONG SELL,95.0,NIFTY_BANK,-1.0522772335662705,-4.874120672185472,SELL
TATASTEEL.NS,Tatasteel,165.8800048828125,159.7039709418045,155.81884765625,157.76140929902726,STRONG SELL,90.0,3.053556953771594,7.1620950219687325,-3.7231937299321385,-6.0653224803497565,-4.894258105140939,"Combined models predict a significant 4.89% price decrease (ARIMA: -3.72%, LSTM: -6.07% - both models agree on direction)",True,NEUTRAL,0.0,40,2,SELL,STRONG SELL,95.0,TECHNICAL_ONLY,STRONG SELL,95.0,NIFTY_METAL,-1.8722402562074265,-3.0220178489335128,SELL
JSWSTEEL.NS,Jswsteel,1059.9000244140625,1020.7227669136042,995.45263671875,1008.0877018161771,STRONG SELL,90.0,18.68745330944451,41.88926686784045,-3.6963163126745253,-6.080515728918916,-4.8884160207967255,"Combined models predict a significant 4.89% price decrease (ARIMA: -3.70%, LSTM: -6.08% - both models agree on direction)",True,NEUTRAL,0.0,40,1,SELL,STRONG SELL,95.0,TECHNICAL_ONLY,STRONG SELL,95.0,NIFTY_METAL,-1.8722402562074265,-3.016175764589299,SELL
SAIL.NS,Sail,137.47999572753906,131.77750554060793,130.04556274414062,130.91153414237428,STRONG SELL,90.0,2.7294923183315434,4.908295464004809,-4.147869045786452,-5.407647086440243,-4.777758066113347,"Combined models predict a significant 4.78% price decrease (ARIMA: -4.15%, LSTM: -5.41% - both models agree on direction)",True,NEUTRAL,0.0,40,0,SELL,STRONG SELL,95.0,TECHNICAL_ONLY,STRONG SELL,95.0,NIFTY_METAL,-1.8722402562074265,-2.9055178099059207,SELL
