ticker,company_name,current_price,arima_prediction,lstm_prediction,combined_prediction,recommendation,confidence,arima_error,lstm_error,arima_change_pct,lstm_change_pct,combined_change_pct,combined_explanation,models_agree,sentiment_signal,sentiment_score,sentiment_confidence,news_count,arima_error_pct,arima_error_threshold,original_recommendation,original_confidence,enhancement_status,contrarian_applied,contrarian_reason,sector,sector_avg_change,relative_to_sector
NATIONALUM.NS,Nationalum,186.22999572753906,188.40110632856195,197.37557983398438,192.88834308127315,STRONG BUY,90.0,4.5866866247455125,12.008552454207198,1.1658221826946176,5.984849037290259,3.5753356099924307,"Combined models predict a significant 3.58% price increase (ARIMA: 1.17%, LSTM: 5.98% - both models agree on direction)",True,NEUTRAL,0.0,0.0,0,1.1658221826946176,30.0,STRONG BUY,95.0,INSUFFICIENT_NEWS,False,⚠️ NO NEWS: Insufficient news data (0 articles) = Using technical analysis: STRONG BUY,NIFTY_METAL,1.8602301342712646,1.7151054757211661
HINDALCO.NS,Hindalco,673.9500122070312,692.0677565114128,699.9393310546875,696.0035437830502,STRONG BUY,90.0,12.129140150351553,29.09767068356573,2.6882920062646893,3.8562680283285715,3.2722800172966386,"Combined models predict a significant 3.27% price increase (ARIMA: 2.69%, LSTM: 3.86% - both models agree on direction)",True,NEUTRAL,0.0,0.0,0,2.6882920062646893,30.0,STRONG BUY,95.0,INSUFFICIENT_NEWS,False,⚠️ NO NEWS: Insufficient news data (0 articles) = Using technical analysis: STRONG BUY,NIFTY_METAL,1.8602301342712646,1.412049883025374
TATASTEEL.NS,Tatasteel,159.0,162.28876870869993,163.87210083007812,163.08043476938903,BUY,85.0,2.959983826221194,6.771681771911699,2.06840799289304,3.0642143585397013,2.5663111757163706,"Combined models predict a moderate 2.57% price increase (ARIMA: 2.07%, LSTM: 3.06% - both models agree on direction)",True,NEUTRAL,0.0,0.0,0,2.06840799289304,30.0,BUY,85.0,INSUFFICIENT_NEWS,False,⚠️ NO NEWS: Insufficient news data (0 articles) = Using technical analysis: BUY,NIFTY_METAL,1.8602301342712646,0.706081041445106
VEDL.NS,Vedl,440.75,452.7703979912889,464.3162536621094,458.5433258266992,STRONG BUY,90.0,9.216773376838773,23.667157426745586,2.727259895924882,5.346852787772972,4.037056341848933,"Combined models predict a significant 4.04% price increase (ARIMA: 2.73%, LSTM: 5.35% - both models agree on direction)",True,BEARISH,0.4408043353589376,44.08043353589376,5,2.727259895924882,30.0,STRONG BUY,95.0,LOW_SENTIMENT_CONFIDENCE,False,⚠️ LOW CONF: Sentiment confidence too low (44.1% <= 50%) = Using technical analysis: STRONG BUY,NIFTY_METAL,1.8602301342712646,2.176826207577668
NMDC.NS,Nmdc,67.9000015258789,68.38174435434779,70.19529724121094,69.28852079777937,BUY,85.0,1.4102392156424195,3.3174861359527132,0.7094886857775308,3.3804059849059342,2.044947335341743,"Combined models predict a moderate 2.04% price increase (ARIMA: 0.71%, LSTM: 3.38% - both models agree on direction)",True,NEUTRAL,0.0,0.0,0,0.7094886857775308,30.0,BUY,85.0,INSUFFICIENT_NEWS,False,⚠️ NO NEWS: Insufficient news data (0 articles) = Using technical analysis: BUY,NIFTY_METAL,1.8602301342712646,0.1847172010704783
COALINDIA.NS,Coalindia,387.45001220703125,384.4924028283838,386.9161376953125,385.70427026184814,HOLD,80.0,4.965211407598884,10.127415469760027,-0.7633525062497862,-0.1377918427922201,-0.4505721745210032,"Combined models predict relatively stable price (change: -0.45%) (ARIMA: -0.76%, LSTM: -0.14% - both models agree on direction)",True,NEUTRAL,0.0,0.0,0,0.7633525062497862,30.0,HOLD,80.0,INSUFFICIENT_NEWS,False,⚠️ NO NEWS: Insufficient news data (0 articles) = Using technical analysis: HOLD,NIFTY_METAL,1.8602301342712646,-2.310802308792268
