Sector,Performance,Direction
NIFTY_IT,1.3398449141418989,UP
NIFTY_BANK,0.011983579783947183,UP
NIFTY_OIL_AND_GAS,-0.11162114397063391,DOWN
NIFTY_METAL,-0.37720517732734693,DOWN
NIFTY_CONSUMPTION,-0.5253252570244583,DOWN
NIFTY_CONSUMER,-0.7464322286991826,DOWN
NIFTY_ENERGY,-0.7681140412921944,DOWN
NIFTY_PSU_BANK,-1.0908594443055963,DOWN
NIFTY_FIN_SERVICE,-1.1873349444844143,DOWN
NIFTY_MEDIA,-1.431888380889737,DOWN
UNKNOWN,-1.4686711760857158,DOWN
NIFTY_HEALTHCARE,-1.5577237813032578,DOWN
NIFTY_AUTO,-1.5897331783891695,DOWN
NIFTY_REALTY,-1.6521984509320173,DOWN
NIFTY_PVT_BANK,-1.8219508627015166,DOWN
NIFTY_PHARMA,-1.9344873632344235,DOWN
