ticker,company_name,current_price,arima_prediction,lstm_prediction,combined_prediction,recommendation,confidence,arima_error,lstm_error,arima_change_pct,lstm_change_pct,combined_change_pct,combined_explanation,models_agree,sentiment_signal,sentiment_score,sentiment_confidence,news_count,arima_error_pct,arima_error_threshold,original_recommendation,original_confidence,enhancement_status,contrarian_applied,contrarian_reason,sector,sector_avg_change,relative_to_sector,category
PEL.NS,Pel,1323.300048828125,1215.9742393139452,1178.052001953125,1197.013120633535,STRONG SELL,95.0,24.06519647106693,44.11856220800922,-8.11046667830356,-10.976199011224049,-9.543332844763812,"Combined models predict a significant 9.54% price decrease (ARIMA: -8.11%, LSTM: -10.98% - both models agree on direction)",True,NEUTRAL,0.34484061667124427,0.34484061667124427,2,8.11046667830356,30,STRONG SELL,95.0,LOW_SENTIMENT_CONFIDENCE,False,⚠️ LOW CONF: Sentiment confidence too low (0.3% <= 50%) = Using technical analysis: STRONG SELL,NIFTY_FIN_SERVICE,-1.1873349444844143,-8.355997900279398,SELL
DISHTV.NS,Dishtv,6.03000020980835,5.634550334346467,5.360955715179443,5.497753024762956,STRONG SELL,95.0,0.1608716369168755,0.4418685739746835,-6.5580408242548165,-11.095264864844347,-8.826652844549574,"Combined models predict a significant 8.83% price decrease (ARIMA: -6.56%, LSTM: -11.10% - both models agree on direction)",True,WEAK_BEARISH,0.27752156364168445,0.27752156364168445,5,6.5580408242548165,30,STRONG SELL,95.0,LOW_SENTIMENT_CONFIDENCE,False,⚠️ LOW CONF: Sentiment confidence too low (0.3% <= 50%) = Using technical analysis: STRONG SELL,NIFTY_MEDIA,-1.431888380889737,-7.394764463659838,SELL
GLENMARK.NS,Glenmark,2226.10009765625,2213.624172870608,1882.795654296875,2048.2099135837416,STRONG SELL,95.0,39.864633072167955,93.84978000886075,-0.5604386253240417,-15.421788252955166,-7.991113439139603,"Combined models predict a significant 7.99% price decrease (ARIMA: -0.56%, LSTM: -15.42% - both models agree on direction)",True,NEUTRAL,0.37339996414063387,0.37339996414063387,31,0.5604386253240417,30,STRONG SELL,95.0,LOW_SENTIMENT_CONFIDENCE,False,⚠️ LOW CONF: Sentiment confidence too low (0.4% <= 50%) = Using technical analysis: STRONG SELL,NIFTY_PHARMA,-1.9344873632344235,-6.0566260759051795,SELL
BOSCHLTD.NS,Boschltd,38320.0,36671.991115767145,35216.93359375,35944.46235475857,STRONG SELL,95.0,484.01847037862547,1260.9558135307548,-4.300649489125405,-8.097772458898747,-6.199210974012076,"Combined models predict a significant 6.20% price decrease (ARIMA: -4.30%, LSTM: -8.10% - both models agree on direction)",True,NEUTRAL,0.3701595960299174,0.3701595960299174,2,4.300649489125405,30,STRONG SELL,95.0,LOW_SENTIMENT_CONFIDENCE,False,⚠️ LOW CONF: Sentiment confidence too low (0.4% <= 50%) = Using technical analysis: STRONG SELL,NIFTY_AUTO,-1.5897331783891695,-4.609477795622906,SELL
BIOCON.NS,Biocon,390.45001220703125,375.71323759471244,361.31036376953125,368.5118006821218,STRONG SELL,95.0,6.93954105046234,14.847530362678079,-3.7743050714786044,-7.463093232546518,-5.618699152012568,"Combined models predict a significant 5.62% price decrease (ARIMA: -3.77%, LSTM: -7.46% - both models agree on direction)",True,NEUTRAL,0.37426772212584813,0.37426772212584813,8,3.7743050714786044,30,STRONG SELL,95.0,LOW_SENTIMENT_CONFIDENCE,False,⚠️ LOW CONF: Sentiment confidence too low (0.4% <= 50%) = Using technical analysis: STRONG SELL,NIFTY_PHARMA,-1.9344873632344235,-3.6842117887781445,SELL
HEROMOTOCO.NS,Heromotoco,4454.0,4212.225651363063,4311.1845703125,4261.705110837782,STRONG SELL,90.0,68.41054255231013,145.83443946723975,-5.428252102311119,-3.206453293387966,-4.3173526978495325,"Combined models predict a significant 4.32% price decrease (ARIMA: -5.43%, LSTM: -3.21% - both models agree on direction)",True,BULLISH,0.44133986993630714,0.44133986993630714,20,5.428252102311119,30,STRONG SELL,95.0,LOW_SENTIMENT_CONFIDENCE,False,⚠️ LOW CONF: Sentiment confidence too low (0.4% <= 50%) = Using technical analysis: STRONG SELL,NIFTY_AUTO,-1.5897331783891695,-2.727619519460363,SELL
LODHA.NS,Lodha,1434.0,1398.1452652869348,1354.0716552734375,1376.1084602801861,STRONG SELL,90.0,33.722240947546474,69.72592724264666,-2.500330175248621,-5.573803676887203,-4.037066926067912,"Combined models predict a significant 4.04% price decrease (ARIMA: -2.50%, LSTM: -5.57% - both models agree on direction)",True,NEUTRAL,0.330213471253713,0.330213471253713,2,2.500330175248621,30,STRONG SELL,95.0,LOW_SENTIMENT_CONFIDENCE,False,⚠️ LOW CONF: Sentiment confidence too low (0.3% <= 50%) = Using technical analysis: STRONG SELL,NIFTY_REALTY,-1.6521984509320173,-2.384868475135895,SELL
IEX.NS,Iex,208.97999572753906,206.85081203263056,194.8521270751953,200.85146955391292,STRONG SELL,90.0,3.7334783011635264,10.349399993196917,-1.0188456974056321,-6.760392832414055,-3.8896192649098507,"Combined models predict a significant 3.89% price decrease (ARIMA: -1.02%, LSTM: -6.76% - both models agree on direction)",True,NEUTRAL,0.3887111673082625,0.3887111673082625,7,1.0188456974056321,30,STRONG SELL,95.0,LOW_SENTIMENT_CONFIDENCE,False,⚠️ LOW CONF: Sentiment confidence too low (0.4% <= 50%) = Using technical analysis: STRONG SELL,NIFTY_FIN_SERVICE,-1.1873349444844143,-2.702284320425436,SELL
TVSMOTOR.NS,Tvsmotor,2885.0,2748.8840944191875,2800.716552734375,2774.800323576781,STRONG SELL,90.0,45.18784082728434,90.62480363354523,-4.718055652714472,-2.921436646988735,-3.8197461498516114,"Combined models predict a significant 3.82% price decrease (ARIMA: -4.72%, LSTM: -2.92% - both models agree on direction)",True,NEUTRAL,0.3,0.3,0,4.718055652714472,30,STRONG SELL,95.0,INSUFFICIENT_NEWS,False,⚠️ NO NEWS: Insufficient news data (0 articles) = Using technical analysis: STRONG SELL,NIFTY_AUTO,-1.5897331783891695,-2.230012971462442,SELL
CROMPTON.NS,Cromptom,351.8500061035156,336.2319593046556,341.115478515625,338.67371891014034,STRONG SELL,90.0,6.147843067309751,10.851753451593149,-4.438836586026694,-3.050881739854933,-3.744859162940805,"Combined models predict a significant 3.74% price decrease (ARIMA: -4.44%, LSTM: -3.05% - both models agree on direction)",True,NEUTRAL,0.24053350587685904,0.24053350587685904,2,4.438836586026694,30,STRONG SELL,95.0,LOW_SENTIMENT_CONFIDENCE,False,⚠️ LOW CONF: Sentiment confidence too low (0.2% <= 50%) = Using technical analysis: STRONG SELL,NIFTY_CONSUMPTION,-0.5253252570244583,-3.2195339059163466,SELL
