ticker,company_name,current_price,arima_prediction,lstm_prediction,combined_prediction,recommendation,confidence,arima_error,lstm_error,arima_change_pct,lstm_change_pct,combined_change_pct,combined_explanation,models_agree,sentiment_signal,sentiment_score,sentiment_confidence,news_count,technical_signal,enhanced_recommendation,enhanced_confidence,agreement_status,original_recommendation,original_confidence,sector,sector_avg_change,relative_to_sector,category
BOSCHLTD.NS,Boschltd,34405.0,32332.620460259066,32483.447265625,32408.033862942033,STRONG SELL,95.0,436.5241200986175,882.064719267518,-6.023483620813643,-5.585097324153466,-5.8042904724835545,"Combined models predict a significant 5.80% price decrease (ARIMA: -6.02%, LSTM: -5.59% - both models agree on direction)",True,NEUTRAL,0.0,40,0,SELL,STRONG SELL,95.0,TECHNICAL_ONLY,STRONG SELL,95.0,NIFTY_AUTO,-1.0239976109115636,-4.780292861571991,SELL
ABBOTINDIA.NS,Abbotindia,35420.0,34474.47284334017,33008.12109375,33741.29696854508,STRONG SELL,90.0,495.386889246664,1405.922560860501,-2.6694724919814545,-6.809370147515528,-4.739421319748502,"Combined models predict a significant 4.74% price decrease (ARIMA: -2.67%, LSTM: -6.81% - both models agree on direction)",True,NEUTRAL,0.0,40,0,SELL,STRONG SELL,95.0,TECHNICAL_ONLY,STRONG SELL,95.0,NIFTY_PHARMA,-1.337535509050928,-3.4018858106975736,SELL
OIL.NS,Oil,452.95001220703125,435.222305089021,431.2674560546875,433.24488057185425,STRONG SELL,90.0,9.245069127506362,22.42943048392705,-3.9138330147361575,-4.786964470250028,-4.350398742493092,"Combined models predict a significant 4.35% price decrease (ARIMA: -3.91%, LSTM: -4.79% - both models agree on direction)",True,NEUTRAL,0.0,40,1,SELL,STRONG SELL,95.0,TECHNICAL_ONLY,STRONG SELL,95.0,NIFTY_OIL_AND_GAS,-1.8234811015983905,-2.526917640894702,SELL
NAZARA.NS,Nazara,1376.0999755859375,1300.7022773072356,1333.3729248046875,1317.0376010559617,STRONG SELL,90.0,18.814861615518698,44.76210210891847,-5.479085794373181,-3.1049379797464938,-4.292011887059829,"Combined models predict a significant 4.29% price decrease (ARIMA: -5.48%, LSTM: -3.10% - both models agree on direction)",True,NEUTRAL,0.0,40,0,SELL,STRONG SELL,95.0,TECHNICAL_ONLY,STRONG SELL,95.0,NIFTY_MEDIA,-0.6719983717048648,-3.620013515354964,SELL
IDFCFIRSTB.NS,Idfcfirstb,77.66000366210938,76.74445131100784,72.3308334350586,74.53764237303321,STRONG SELL,90.0,1.3110748998968857,2.7423116615015104,-1.178923909255802,-6.862181271890545,-4.020552590573183,"Combined models predict a significant 4.02% price decrease (ARIMA: -1.18%, LSTM: -6.86% - both models agree on direction)",True,NEUTRAL,0.0,40,0,SELL,STRONG SELL,95.0,TECHNICAL_ONLY,STRONG SELL,95.0,NIFTY_BANK,0.22794801246021462,-4.248500603033397,SELL
GUJGASLTD.NS,Gujgasltd,495.1499938964844,480.4933691166743,470.7325439453125,475.6129565309934,STRONG SELL,90.0,8.52012592689756,21.52784902681971,-2.960037354433292,-4.931323892185398,-3.9456806233093396,"Combined models predict a significant 3.95% price decrease (ARIMA: -2.96%, LSTM: -4.93% - both models agree on direction)",True,NEUTRAL,0.0,40,0,SELL,STRONG SELL,95.0,TECHNICAL_ONLY,STRONG SELL,95.0,NIFTY_OIL_AND_GAS,-1.8234811015983905,-2.1221995217109493,SELL
BIOCON.NS,Biocon,374.45001220703125,362.4679172763879,357.5164794921875,359.9921983842877,STRONG SELL,90.0,7.224619326039273,15.924624870441104,-3.199918424363287,-4.522241197172481,-3.861079810767884,"Combined models predict a significant 3.86% price decrease (ARIMA: -3.20%, LSTM: -4.52% - both models agree on direction)",True,NEUTRAL,0.0,40,1,SELL,STRONG SELL,95.0,TECHNICAL_ONLY,STRONG SELL,95.0,NIFTY_PHARMA,-1.337535509050928,-2.523544301716956,SELL
IPCALAB.NS,Ipcalab,1415.699951171875,1366.3833321588666,1357.5701904296875,1361.976761294277,STRONG SELL,90.0,33.048785044584186,57.70272902244844,-3.4835502376181897,-4.106079165579499,-3.7948147015988525,"Combined models predict a significant 3.79% price decrease (ARIMA: -3.48%, LSTM: -4.11% - both models agree on direction)",True,NEUTRAL,0.0,40,0,SELL,STRONG SELL,95.0,TECHNICAL_ONLY,STRONG SELL,95.0,NIFTY_PHARMA,-1.337535509050928,-2.4572791925479245,SELL
VOLTAS.NS,Voltas,1367.0,1327.2023638062185,1303.4727783203125,1315.3375710632654,STRONG SELL,90.0,28.66651373878371,54.78429378935314,-2.9113120844024505,-4.647199830262435,-3.7792559573324516,"Combined models predict a significant 3.78% price decrease (ARIMA: -2.91%, LSTM: -4.65% - both models agree on direction)",True,NEUTRAL,0.0,50,0,SELL,STRONG SELL,95.0,TECHNICAL_ONLY,STRONG SELL,95.0,NIFTY_CONSUMPTION,-0.8510165358224097,-2.928239421510042,SELL
APOLLOHOSP.NS,Apollohosp,7565.0,7488.792975265607,7089.255859375,7289.024417320304,STRONG SELL,90.0,97.93547806948433,208.70721722696757,-1.0073631822127256,-6.288752685062788,-3.648057933637757,"Combined models predict a significant 3.65% price decrease (ARIMA: -1.01%, LSTM: -6.29% - both models agree on direction)",True,NEUTRAL,0.0,40,2,SELL,STRONG SELL,95.0,TECHNICAL_ONLY,STRONG SELL,95.0,NIFTY_HEALTHCARE,-1.6751053721398157,-1.9729525614979413,SELL
