ticker,company_name,current_price,arima_prediction,lstm_prediction,combined_prediction,recommendation,confidence,arima_error,lstm_error,arima_change_pct,lstm_change_pct,combined_change_pct,combined_explanation,models_agree,original_recommendation,original_confidence,sentiment_signal,sentiment_score,sentiment_confidence,news_count,sentiment_breakdown,sector,enhancement_status,sector_avg_change,relative_to_sector,category
DISHTV,Dishtv,5.889999866485596,5.355416824772052,4.873003005981445,5.114209915376749,STRONG SELL,95.0,0.1635868274502015,0.42666545979596116,-9.076112968276085,-17.266500569735413,-13.171306769005742,"Combined models predict a significant 13.17% price decrease (ARIMA: -9.08%, LSTM: -17.27% - both models agree on direction)",True,STRONG SELL,95.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,-13.204902938792314,SELL
METROPOLIS,Metropolis,2057.89990234375,1854.5495503909297,1745.912109375,1800.2308298829648,STRONG SELL,95.0,35.05318727379619,67.48016345041772,-9.88145009974605,-15.16049408493707,-12.520972092341562,"Combined models predict a significant 12.52% price decrease (ARIMA: -9.88%, LSTM: -15.16% - both models agree on direction)",True,STRONG SELL,95.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,-12.554568262128134,SELL
IEX,Iex,207.9600067138672,199.39099272727577,193.6829833984375,196.53698806285664,STRONG SELL,95.0,3.7788820614080327,7.8105822951911845,-4.120510535653881,-6.865273540346384,-5.492892038000132,"Combined models predict a significant 5.49% price decrease (ARIMA: -4.12%, LSTM: -6.87% - both models agree on direction)",True,STRONG SELL,95.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,-5.526488207786703,SELL
GODREJCP,Godrejcp,1293.800048828125,1265.2196788190995,1180.2899169921875,1222.7547979056435,STRONG SELL,95.0,19.21304664407254,40.861746692963656,-2.2090252690060193,-8.773390597623695,-5.491207933314858,"Combined models predict a significant 5.49% price decrease (ARIMA: -2.21%, LSTM: -8.77% - both models agree on direction)",True,STRONG SELL,95.0,BULLISH,0.4331113434314728,0.4331113434314728,2,"{'positive': 1, 'negative': 1, 'neutral': 0}",UNKNOWN,NEUTRAL_SENTIMENT,0.033596169786571116,-5.524804103101428,SELL
MRF,Mrf,150715.0,143130.44807386957,142694.625,142912.5365369348,STRONG SELL,95.0,1888.7306853952985,4433.360902340968,-5.032380271459662,-5.321550608764888,-5.176965440112275,"Combined models predict a significant 5.18% price decrease (ARIMA: -5.03%, LSTM: -5.32% - both models agree on direction)",True,STRONG SELL,95.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,-5.210561609898845,SELL
LALPATHLAB,Lalpathlab,2963.699951171875,2855.7007368056243,2793.13134765625,2824.416042230937,STRONG SELL,90.0,48.720805985519796,105.0407254397774,-3.644067083226384,-5.755258842858925,-4.6996629630426625,"Combined models predict a significant 4.70% price decrease (ARIMA: -3.64%, LSTM: -5.76% - both models agree on direction)",True,STRONG SELL,95.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,-4.733259132829233,SELL
DABUR,Dabur,522.1500244140625,512.3296489940357,492.0587158203125,502.1941824071741,STRONG SELL,90.0,6.54040684311486,14.40452604938521,-1.880757437682187,-5.762962211390751,-3.8218598245364688,"Combined models predict a significant 3.82% price decrease (ARIMA: -1.88%, LSTM: -5.76% - both models agree on direction)",True,STRONG SELL,95.0,BULLISH,0.4613293898741404,0.4613293898741404,2,"{'positive': 1, 'negative': 0, 'neutral': 1}",UNKNOWN,NEUTRAL_SENTIMENT,0.033596169786571116,-3.85545599432304,SELL
ICICIPRULI,Icicipruli,680.3499755859375,665.2328133864636,647.3729248046875,656.3028690955755,STRONG SELL,90.0,9.44967162243644,21.36849399483931,-2.221968507672035,-4.847071649094892,-3.534520078383472,"Combined models predict a significant 3.53% price decrease (ARIMA: -2.22%, LSTM: -4.85% - both models agree on direction)",True,STRONG SELL,95.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,-3.568116248170043,SELL
DIVISLAB,Divislab,6983.5,6882.995751568689,6619.7783203125,6751.387035940595,STRONG SELL,90.0,107.57456637554452,276.51389502138863,-1.4391673005127912,-5.208300704338799,-3.3237340024257946,"Combined models predict a significant 3.32% price decrease (ARIMA: -1.44%, LSTM: -5.21% - both models agree on direction)",True,STRONG SELL,95.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,-3.357330172212366,SELL
PRESTIGE,Prestige,1650.0,1629.8479830585802,1565.7347412109375,1597.7913621347589,STRONG SELL,90.0,35.27960965897405,90.53535676753671,-1.2213343600860478,-5.106985381155303,-3.1641598706206753,"Combined models predict a significant 3.16% price decrease (ARIMA: -1.22%, LSTM: -5.11% - both models agree on direction)",True,STRONG SELL,95.0,NEUTRAL,0.0,0.0,0,"{'positive': 0, 'negative': 0, 'neutral': 0}",UNKNOWN,INSUFFICIENT_NEWS,0.033596169786571116,-3.1977560404072465,SELL
