Sector,Performance,Direction
NIFTY_REALTY,2.8162627326541463,UP
UNKNOWN,2.233447739629762,UP
NIFTY_FIN_SERVICE,1.3491377291611104,UP
NIFTY_PVT_BANK,1.1846711605898852,UP
NIFTY_ENERGY,0.4640160945710153,UP
NIFTY_CONSUMER,0.36681653578071655,UP
NIFTY_BANK,0.22794801246021462,UP
NIFTY_PSU_BANK,-0.0010827762125749096,DOWN
NIFTY_IT,-0.12530686224325296,DOWN
NIFTY_MEDIA,-0.6719983717048648,DOWN
NIFTY_CONSUMPTION,-0.8510165358224097,DOWN
NIFTY_METAL,-0.9609851203222785,DOWN
NIFTY_AUTO,-1.0239976109115636,DOWN
NIFTY_PHARMA,-1.337535509050928,DOWN
NIFTY_HEALTHCARE,-1.6751053721398157,DOWN
NIFTY_OIL_AND_GAS,-1.8234811015983905,DOWN
