ticker,company_name,current_price,arima_prediction,lstm_prediction,combined_prediction,recommendation,confidence,arima_error,lstm_error,arima_change_pct,lstm_change_pct,combined_change_pct,combined_explanation,models_agree,sentiment_signal,sentiment_score,sentiment_confidence,news_count,technical_signal,enhanced_recommendation,enhanced_confidence,agreement_status,original_recommendation,original_confidence,sector,sector_avg_change,relative_to_sector
LAURUSLABS.NS,Lauraslabs,756.75,724.6183830069449,660.1157836914062,692.3670833491756,STRONG SELL,95.0,14.40487334114072,40.845886041004405,-4.246001584810717,-12.76963545538074,-8.507818520095729,"Combined models predict a significant 8.51% price decrease (ARIMA: -4.25%, LSTM: -12.77% - both models agree on direction)",True,NEUTRAL,0.0,40.0,0,SELL,STRONG SELL,95.0,TECHNICAL_ONLY,STRONG SELL,95.0,NIFTY_PHARMA,-1.6695653975686207,-6.838253122527108
ZYDUSLIFE.NS,Zyduslife,995.4000244140625,989.212687901263,960.3798828125,974.7962853568815,SELL,85.0,14.85415541528667,29.823246979721564,-0.6215929637375279,-3.518197784069469,-2.0698953739034986,"Combined models predict a moderate 2.07% price decrease (ARIMA: -0.62%, LSTM: -3.52% - both models agree on direction)",True,NEUTRAL,0.0,40.0,0,SELL,SELL,85.0,TECHNICAL_ONLY,SELL,85.0,NIFTY_PHARMA,-1.6695653975686207,-0.400329976334878
BIOCON.NS,Biocon,368.54998779296875,355.9731992238496,351.8024597167969,353.88782947032325,STRONG SELL,90.0,7.452744770482778,15.159067852220073,-3.4125054906212955,-4.544167312679365,-3.9783364016503224,"Combined models predict a significant 3.98% price decrease (ARIMA: -3.41%, LSTM: -4.54% - both models agree on direction)",True,NEUTRAL,0.0,40.0,1,SELL,STRONG SELL,95.0,TECHNICAL_ONLY,STRONG SELL,95.0,NIFTY_PHARMA,-1.6695653975686207,-2.3087710040817018
CIPLA.NS,Cipla,1497.5999755859375,1504.8557353840536,1522.5921630859375,1513.7239492349954,BUY,85.0,20.33381408494374,37.486223058792326,0.4844925157852808,1.6688159660407167,1.0766542409129911,"Combined models predict a moderate 1.08% price increase (ARIMA: 0.48%, LSTM: 1.67% - both models agree on direction)",True,NEUTRAL,0.0,40.0,1,BUY,BUY,85.0,TECHNICAL_ONLY,BUY,85.0,NIFTY_PHARMA,-1.6695653975686207,2.7462196384816115
APOLLOHOSP.NS,Apollohosp,7441.0,7228.632510822645,7187.5869140625,7208.109712442572,STRONG SELL,90.0,98.29543765057919,213.19122961810402,-2.854018131667186,-3.405632118498857,-3.1298251250830216,"Combined models predict a significant 3.13% price decrease (ARIMA: -2.85%, LSTM: -3.41% - both models agree on direction)",True,NEUTRAL,0.0,40.0,2,SELL,STRONG SELL,95.0,TECHNICAL_ONLY,STRONG SELL,95.0,NIFTY_HEALTHCARE,-0.9715363644183919,-2.1582887606646297
LALPATHLAB.NS,Lalpathlab,2772.800048828125,2806.0025005726925,2792.56103515625,2799.2817678644715,HOLD,80.0,47.56577062477829,109.88931124643061,1.1974340435618473,0.7126726045924816,0.9550533240771727,"Combined models predict relatively stable price (change: 0.96%) (ARIMA: 1.20%, LSTM: 0.71% - both models agree on direction)",True,NEUTRAL,0.0,40.0,0,BUY,HOLD,80.0,TECHNICAL_ONLY,HOLD,80.0,NIFTY_HEALTHCARE,-0.9715363644183919,1.9265896884955644
MAXHEALTH.NS,Maxhealth,1284.800048828125,1275.4958798268024,1219.769287109375,1247.6325834680888,SELL,85.0,27.100056640907752,56.25215296744438,-0.7241725286210123,-5.061547263954808,-2.8928598962879013,"Combined models predict a moderate 2.89% price decrease (ARIMA: -0.72%, LSTM: -5.06% - both models agree on direction)",True,NEUTRAL,0.0,50.0,0,SELL,SELL,85.0,TECHNICAL_ONLY,SELL,85.0,NIFTY_HEALTHCARE,-0.9715363644183919,-1.9213235318695094
METROPOLIS.NS,Metropolis,1725.5999755859375,1707.3590835426403,1721.191162109375,1714.2751228260076,HOLD,80.0,28.395876334063864,61.21847986158348,-1.0570753535797546,-0.25549452590050376,-0.6562849397401292,"Combined models predict relatively stable price (change: -0.66%) (ARIMA: -1.06%, LSTM: -0.26% - both models agree on direction)",True,NEUTRAL,0.0,40.0,0,SELL,HOLD,80.0,TECHNICAL_ONLY,HOLD,80.0,NIFTY_HEALTHCARE,-0.9715363644183919,0.3152514246782626
GODREJCP.NS,Godrejcp,1174.5999755859375,1177.7688400005525,1189.82568359375,1183.7972617971514,HOLD,80.0,17.766505081148594,37.179040793755284,0.2697824349122957,1.296246239083847,0.783014336998081,"Combined models predict relatively stable price (change: 0.78%) (ARIMA: 0.27%, LSTM: 1.30% - both models agree on direction)",True,NEUTRAL,0.0,40.0,0,BUY,HOLD,80.0,TECHNICAL_ONLY,HOLD,80.0,NIFTY_CONSUMER,0.8868615410142037,-0.10384720401612269
UBL.NS,Ubl,1939.5999755859375,1953.3125477591893,1947.260009765625,1950.2862787624072,HOLD,80.0,30.46828037223186,63.13500963647407,0.706979395022387,0.3949285562025987,0.5509539756124929,"Combined models predict relatively stable price (change: 0.55%) (ARIMA: 0.71%, LSTM: 0.39% - both models agree on direction)",True,NEUTRAL,0.0,40.0,0,BUY,HOLD,80.0,TECHNICAL_ONLY,HOLD,80.0,NIFTY_CONSUMER,0.8868615410142037,-0.33590756540171074
UNITDSPR.NS,Unitdspr,1383.4000244140625,1426.5673213147734,1435.6947021484375,1431.1310117316054,STRONG BUY,90.0,24.156996718706306,54.23532889919702,3.1203770521107472,3.7801559065697106,3.450266479340229,"Combined models predict a significant 3.45% price increase (ARIMA: 3.12%, LSTM: 3.78% - both models agree on direction)",True,NEUTRAL,0.0,40.0,0,BUY,STRONG BUY,95.0,TECHNICAL_ONLY,STRONG BUY,95.0,NIFTY_CONSUMER,0.8868615410142037,2.563404938326025
DABUR.NS,Dabur,487.54998779296875,485.2265696856394,483.80657958984375,484.51657463774154,HOLD,80.0,6.413710624485117,14.000596991031497,-0.47654972115720096,-0.7677998762897283,-0.6221747987234705,"Combined models predict relatively stable price (change: -0.62%) (ARIMA: -0.48%, LSTM: -0.77% - both models agree on direction)",True,NEUTRAL,0.0,40.0,0,SELL,HOLD,80.0,TECHNICAL_ONLY,HOLD,80.0,NIFTY_CONSUMER,0.8868615410142037,-1.509036339737674
VBL.NS,Vbl,453.04998779296875,457.8788147117269,473.2338562011719,465.55633545644935,BUY,85.0,11.747001707397049,29.79537369155778,1.065848592620372,4.455108476335859,2.7604785344781093,"Combined models predict a moderate 2.76% price increase (ARIMA: 1.07%, LSTM: 4.46% - both models agree on direction)",True,NEUTRAL,0.0,40.0,0,BUY,BUY,85.0,TECHNICAL_ONLY,BUY,85.0,NIFTY_CONSUMER,0.8868615410142037,1.8736169934639055
ITC.NS,Itc,412.95001220703125,416.5171225905446,420.1254577636719,418.32129017710827,BUY,85.0,4.695725527117116,10.718899634613562,0.8638116668041148,1.7376063311612728,1.3007089989827008,"Combined models predict a moderate 1.30% price increase (ARIMA: 0.86%, LSTM: 1.74% - both models agree on direction)",True,NEUTRAL,0.0,40.0,0,BUY,BUY,85.0,TECHNICAL_ONLY,BUY,85.0,NIFTY_CONSUMER,0.8868615410142037,0.4138474579684971
NESTLEIND.NS,Nestleind,2388.0,2465.4828161376195,2405.0595703125,2435.2711932250595,BUY,85.0,27.044295062427768,51.35253417828271,3.2446740426138807,0.7143873665201005,1.979530704566981,"Combined models predict a moderate 1.98% price increase (ARIMA: 3.24%, LSTM: 0.71% - both models agree on direction)",True,NEUTRAL,0.0,40.0,0,BUY,BUY,85.0,TECHNICAL_ONLY,BUY,85.0,NIFTY_CONSUMER,0.8868615410142037,1.0926691635527774
TATACONSUM.NS,Tataconsum,1095.800048828125,1101.0596894275911,1121.2796630859375,1111.1696762567644,BUY,85.0,15.638471068465487,32.29309870999588,0.4799817818123776,2.325206526962744,1.4025941543875713,"Combined models predict a moderate 1.40% price increase (ARIMA: 0.48%, LSTM: 2.33% - both models agree on direction)",True,NEUTRAL,0.0,40.0,0,BUY,BUY,85.0,TECHNICAL_ONLY,BUY,85.0,NIFTY_CONSUMER,0.8868615410142037,0.5157326133733676
HINDUNILVR.NS,Hindunilvr,2307.10009765625,2293.8198382415203,2299.02880859375,2296.424323417635,HOLD,80.0,25.386759492944563,49.834787666440995,-0.5756256275235272,-0.34984563828416054,-0.4627356329038439,"Combined models predict relatively stable price (change: -0.46%) (ARIMA: -0.58%, LSTM: -0.35% - both models agree on direction)",True,NEUTRAL,0.0,40.0,0,SELL,HOLD,80.0,TECHNICAL_ONLY,HOLD,80.0,NIFTY_CONSUMER,0.8868615410142037,-1.3495971739180477
RELIANCE.NS,Reliance,1518.800048828125,1501.2532561556873,1473.22216796875,1487.2377120622186,SELL,85.0,18.94066150057184,45.39789771260725,-1.1553063015751466,-3.000913839484135,-2.078110070529641,"Combined models predict a moderate 2.08% price decrease (ARIMA: -1.16%, LSTM: -3.00% - both models agree on direction)",True,NEUTRAL,0.01742285362434387,80.61068948414737,10,SELL,SELL,85.0,TECHNICAL_ONLY,SELL,85.0,NIFTY_OIL_AND_GAS,-1.4072933377943193,-0.6708167327353216
BPCL.NS,Bpcl,331.79998779296875,331.5258130178484,320.05023193359375,325.78802247572105,SELL,85.0,5.223427255236846,9.145639832972813,-0.08263254527044123,-3.5412164833189883,-1.8119245142947233,"Combined models predict a moderate 1.81% price decrease (ARIMA: -0.08%, LSTM: -3.54% - both models agree on direction)",True,NEUTRAL,0.0,40.0,0,SELL,SELL,85.0,TECHNICAL_ONLY,SELL,85.0,NIFTY_OIL_AND_GAS,-1.4072933377943193,-0.40463117650040403
ONGC.NS,Ongc,241.07000732421875,244.464408973718,249.75570678710938,247.1100578804137,BUY,85.0,4.338860736388435,12.077315442188688,1.4080563929025296,3.602978055751703,2.5055172243271224,"Combined models predict a moderate 2.51% price increase (ARIMA: 1.41%, LSTM: 3.60% - both models agree on direction)",True,NEUTRAL,0.0,40.0,0,BUY,BUY,85.0,TECHNICAL_ONLY,BUY,85.0,NIFTY_OIL_AND_GAS,-1.4072933377943193,3.9128105621214417
IOC.NS,Ioc,147.91000366210938,146.82513416829153,142.22386169433594,144.52449793131373,SELL,85.0,2.0936011559156587,4.582635902384904,-0.7334659366895568,-3.844325486437721,-2.2888957115636392,"Combined models predict a moderate 2.29% price decrease (ARIMA: -0.73%, LSTM: -3.84% - both models agree on direction)",True,NEUTRAL,0.0,40.0,0,SELL,SELL,85.0,TECHNICAL_ONLY,SELL,85.0,NIFTY_OIL_AND_GAS,-1.4072933377943193,-0.8816023737693199
GAIL.NS,Gail,190.75999450683594,190.33277700388663,188.73788452148438,189.5353307626855,HOLD,80.0,3.6223825447057494,8.370975238677065,-0.2239555018093664,-1.0600283306671514,-0.6419919162382589,"Combined models predict relatively stable price (change: -0.64%) (ARIMA: -0.22%, LSTM: -1.06% - both models agree on direction)",True,NEUTRAL,0.0,40.0,1,SELL,HOLD,80.0,TECHNICAL_ONLY,HOLD,80.0,NIFTY_OIL_AND_GAS,-1.4072933377943193,0.7653014215560604
JIOFIN.NS,Jiofin,326.70001220703125,326.1481628150994,320.6951599121094,323.42166136360436,SELL,85.0,5.524068418176942,12.745271047529807,-0.16891624466244085,-1.8380324672643642,-1.0034743559634112,"Combined models predict a moderate 1.00% price decrease (ARIMA: -0.17%, LSTM: -1.84% - both models agree on direction)",True,NEUTRAL,0.0,50.0,0,SELL,SELL,85.0,TECHNICAL_ONLY,SELL,85.0,NIFTY_OIL_AND_GAS,-1.4072933377943193,0.40381898183090814
OIL.NS,Oil,435.8999938964844,438.12351454257157,457.7861022949219,447.9548084187467,BUY,85.0,9.429792999077469,26.767850121791394,0.5100988018401366,5.020901285819911,2.765500043830024,"Combined models predict a moderate 2.77% price increase (ARIMA: 0.51%, LSTM: 5.02% - both models agree on direction)",True,NEUTRAL,0.0,40.0,1,BUY,BUY,85.0,TECHNICAL_ONLY,BUY,85.0,NIFTY_OIL_AND_GAS,-1.4072933377943193,4.172793381624343
IGL.NS,Igl,220.72000122070312,218.47039567159888,208.89141845703125,213.68090706431508,STRONG SELL,90.0,4.656888737180815,8.5180855188898,-1.0192123670998043,-5.359089660317733,-3.1891510137087624,"Combined models predict a significant 3.19% price decrease (ARIMA: -1.02%, LSTM: -5.36% - both models agree on direction)",True,NEUTRAL,0.0,40.0,0,SELL,STRONG SELL,95.0,TECHNICAL_ONLY,STRONG SELL,95.0,NIFTY_OIL_AND_GAS,-1.4072933377943193,-1.781857675914443
GUJGASLTD.NS,Gujgasltd,499.3999938964844,475.5196824488418,460.011962890625,467.76582266973344,STRONG SELL,95.0,8.574510915087322,20.86448980250212,-4.781800508510312,-7.887070782388461,-6.334435645449381,"Combined models predict a significant 6.33% price decrease (ARIMA: -4.78%, LSTM: -7.89% - both models agree on direction)",True,NEUTRAL,0.0,40.0,0,SELL,STRONG SELL,95.0,TECHNICAL_ONLY,STRONG SELL,95.0,NIFTY_OIL_AND_GAS,-1.4072933377943193,-4.927142307655062
PETRONET.NS,Petronet,302.0,301.50601440346657,298.15069580078125,299.8283551021239,HOLD,80.0,5.2748305083812905,10.379528627633224,-0.16357138958060746,-1.2746040394764073,-0.7190877145285074,"Combined models predict relatively stable price (change: -0.72%) (ARIMA: -0.16%, LSTM: -1.27% - both models agree on direction)",True,NEUTRAL,0.0,40.0,0,SELL,HOLD,80.0,TECHNICAL_ONLY,HOLD,80.0,NIFTY_OIL_AND_GAS,-1.4072933377943193,0.6882056232658119
