Sector,Performance,Direction
NIFTY_IT,0.4531953138808616,UP
NIFTY_METAL,0.43375974050560867,UP
NIFTY_BANK,-0.02042796572597792,DOWN
NIFTY_FIN_SERVICE,-0.32062402146985175,DOWN
NIFTY_CONSUMPTION,-0.47187107817870216,DOWN
NIFTY_OIL_AND_GAS,-0.6369699776028709,DOWN
NIFTY_ENERGY,-0.6755896155684434,DOWN
NIFTY_CONSUMER,-0.9411203771611018,DOWN
NIFTY_PHARMA,-1.1695865216087105,DOWN
NIFTY_REALTY,-1.4042881190423355,DOWN
NIFTY_AUTO,-1.431868527738015,DOWN
UNKNOWN,-1.5090263386033738,DOWN
NIFTY_PSU_BANK,-2.3135491723452217,DOWN
NIFTY_HEALTHCARE,-2.5588307229455625,DOWN
NIFTY_PVT_BANK,-2.6421022509479517,DOWN
NIFTY_MEDIA,-3.0790684596351454,DOWN
