,Open,High,Low,Close,Volume
2023-10-05 04:45:00,1865.199951171875,1868.199951171875,1842.0,1850.5999755859375,517609
2023-10-06 04:45:00,1857.699951171875,1899.0,1855.949951171875,1894.050048828125,408253
2023-10-09 04:45:00,1880.0,1906.199951171875,1877.3499755859375,1890.6500244140625,169472
2023-10-10 04:45:00,1897.949951171875,1898.9000244140625,1865.0,1868.25,88144
2023-10-11 04:45:00,1875.449951171875,1908.550048828125,1872.0999755859375,1885.5,267605
2023-10-12 04:45:00,1893.0,1896.9000244140625,1873.3499755859375,1881.5,162795
2023-10-13 04:45:00,1880.0,1914.75,1871.550048828125,1895.5999755859375,276953
2023-10-16 04:45:00,1895.5999755859375,1939.0,1894.550048828125,1912.3499755859375,510628
2023-10-17 04:45:00,1917.25,1936.3499755859375,1902.300048828125,1921.550048828125,300335
2023-10-18 04:45:00,1924.0999755859375,1939.0,1906.0999755859375,1917.0,405999
2023-10-19 04:45:00,1920.25,1922.949951171875,1897.550048828125,1919.199951171875,101361
2023-10-20 04:45:00,1911.300048828125,1939.9000244140625,1882.050048828125,1891.5999755859375,299259
2023-10-23 04:45:00,1898.300048828125,1910.949951171875,1867.75,1877.300048828125,224516
2023-10-25 04:45:00,1909.0,1954.050048828125,1822.550048828125,1922.25,1682093
2023-10-26 04:45:00,1919.800048828125,1919.800048828125,1859.550048828125,1889.6500244140625,433022
2023-10-27 04:45:00,1895.550048828125,1950.800048828125,1895.4000244140625,1920.6500244140625,695215
2023-10-30 03:45:00,1930.050048828125,1951.4000244140625,1918.5999755859375,1930.3499755859375,287857
2023-10-31 03:45:00,1944.800048828125,1944.800048828125,1918.0,1924.25,184243
2023-11-01 03:45:00,1929.800048828125,1941.550048828125,1913.3499755859375,1920.050048828125,249601
2023-11-02 03:45:00,1926.8499755859375,1945.0,1921.5,1927.4000244140625,220680
2023-11-03 03:45:00,1935.4000244140625,1967.9000244140625,1932.6500244140625,1960.4000244140625,401602
2023-11-06 03:45:00,1978.4000244140625,1994.0,1954.550048828125,1966.5,221392
2023-11-07 03:45:00,1968.800048828125,2001.0,1966.25,1998.4000244140625,295281
2023-11-08 03:45:00,2017.0999755859375,2053.60009765625,2002.0999755859375,2028.0999755859375,439459
2023-11-09 03:45:00,2034.449951171875,2059.89990234375,2016.9000244140625,2051.199951171875,308733
2023-11-10 03:45:00,2061.199951171875,2068.89990234375,2044.25,2058.199951171875,206637
2023-11-13 03:45:00,2056.199951171875,2075.60009765625,2049.25,2066.0,188309
2023-11-15 03:45:00,2084.75,2084.75,2048.75,2054.60009765625,179655
2023-11-16 03:45:00,2057.949951171875,2057.949951171875,2033.949951171875,2039.550048828125,342090
2023-11-17 03:45:00,2039.5999755859375,2088.0,2024.6500244140625,2082.35009765625,147474
2023-11-20 03:45:00,2082.35009765625,2118.800048828125,2081.800048828125,2110.75,318186
2023-11-21 03:45:00,2134.0,2145.0,2109.550048828125,2119.64990234375,288221
2023-11-22 03:45:00,2116.199951171875,2132.39990234375,2083.39990234375,2111.550048828125,164055
2023-11-23 03:45:00,2135.050048828125,2135.949951171875,2082.0,2106.550048828125,189688
2023-11-24 03:45:00,2109.89990234375,2129.0,2083.300048828125,2090.800048828125,157910
2023-11-28 03:45:00,2099.800048828125,2105.199951171875,2072.25,2079.0,306047
2023-11-29 03:45:00,2081.0,2124.949951171875,2074.300048828125,2091.85009765625,209338
2023-11-30 03:45:00,2091.85009765625,2140.0,2077.85009765625,2126.550048828125,529836
2023-12-01 03:45:00,2135.0,2157.449951171875,2118.5,2151.25,308776
2023-12-04 03:45:00,2170.0,2172.550048828125,2112.300048828125,2133.60009765625,272694
2023-12-05 03:45:00,2135.75,2160.0,2096.050048828125,2100.0,676468
2023-12-06 03:45:00,2106.800048828125,2125.0,2075.0,2079.949951171875,183439
2023-12-07 03:45:00,2085.39990234375,2107.949951171875,2074.5,2100.550048828125,145283
