Price,Close,High,Low,Open,Volume
Ticker,SYNGENE.NS,SYNGENE.NS,SYNGENE.NS,SYNGENE.NS,SYNGENE.NS
Date,,,,,
2023-04-24,618.60546875,621.4985037970542,609.7269552285894,618.804998906358,336799
2023-04-25,624.2418823242188,629.0801690025921,617.5081504733382,620.0021252329236,820638
2023-04-26,622.8951416015625,631.1751253770982,620.0021066121092,626.2869106398987,447898
2023-04-27,648.2838134765625,658.4093759621127,630.4768569819018,643.046466167773,3807008
2023-04-28,675.3683471679688,684.0473912811207,651.426190104407,653.4213698597039,2793922
2023-05-02,693.1254272460938,697.8141117974687,676.1663995112018,676.1663995112018,1896776
2023-05-03,687.5888671875,704.4980288737487,684.5960973629624,690.5317696925734,1037899
2023-05-04,688.5365600585938,696.8165440377664,682.6507553027664,687.3394400028935,549317
2023-05-05,693.8736572265625,704.2984840764096,686.3917328206516,689.833430224982,1141273
2023-05-08,696.1182250976562,707.0917140773466,688.885698270133,694.7216357603473,924642
2023-05-09,700.7071533203125,710.2839917755477,696.9162630807301,698.3129132624767,1054242
2023-05-10,699.460205078125,707.4907918519781,692.8760749950216,701.3057220968411,610311
2023-05-11,706.1939086914062,708.6379552156334,698.8117191375859,700.2582366581655,559967
2023-05-12,697.9138793945312,717.167413442841,696.168097045243,707.7900438971559,703569
2023-05-15,697.514892578125,700.7071925378898,687.638727896865,697.864024699075,492725
2023-05-16,693.7240600585938,699.0112744976459,690.2823626305126,696.8165644791552,301314
2023-05-17,690.1825561523438,692.7264591379846,680.5059827179258,689.4343637184626,479899
2023-05-18,697.4649658203125,707.2912014571265,690.4818368919629,691.329763906613,629443
2023-05-19,699.3104858398438,703.3008452454919,689.9331168813495,699.160823006911,467474
2023-05-22,697.7144165039062,700.2083913114152,689.2847694769149,689.3346367954538,286310
2023-05-23,697.5647583007812,701.4054551746725,692.5269413337106,701.4054551746725,402249
2023-05-24,707.0916748046875,713.2767440636894,694.3225368787802,695.0208619526768,820829
2023-05-25,711.0322265625,717.7160913082894,705.0466869492064,709.0370466914021,520663
2023-05-26,716.3193969726562,722.0555387491537,709.1367377009964,710.9823155010497,570018
2023-05-29,712.7780151367188,722.7539145788002,706.6927408322723,720.0604095518266,336097
2023-05-30,713.2269287109375,721.3572500629158,706.9919916827072,709.785231293743,363872
2023-05-31,723.2526245117188,726.1955266787214,711.381281216237,713.2268589288561,1302002
2023-06-01,724.7989501953125,727.8915155057341,718.2647483428603,727.2430576971461,450379
2023-06-02,718.7635498046875,728.1409195702701,714.2743950869622,721.3572592863724,552699
2023-06-05,719.5615844726562,723.601811400041,717.56640466772,720.2599095819951,409494
2023-06-06,732.7297973632812,738.665469573992,717.416816423029,718.2647435011062,429117
2023-06-07,731.4828491210938,744.9503137827163,728.2905490236897,739.1643041057052,533841
2023-06-08,721.45703125,735.1738924394986,716.6186836794162,731.4827976145315,464498
