,Open,High,Low,Close,Volume
2023-05-11 04:45:00,97700.0,98240.0,97200.0,97361.0,9435
2023-05-12 04:45:00,97760.0,97800.0,96600.046875,96689.1484375,6319
2023-05-15 04:45:00,96705.0,97656.3515625,95150.0,96900.8984375,9670
2023-05-16 04:45:00,96800.0,97600.0,96400.0,96551.8515625,9357
2023-05-17 04:45:00,96536.0,97900.0,96299.796875,97655.1015625,9469
2023-05-18 04:45:00,97872.25,98400.0,96800.1015625,97060.703125,8164
2023-05-19 04:45:00,97258.046875,97280.953125,95700.0,96236.6484375,10866
2023-05-22 04:45:00,96356.6484375,96553.3984375,95674.25,95911.453125,7085
2023-05-23 04:45:00,96066.0,96453.796875,95225.296875,95487.6484375,9019
2023-05-24 04:45:00,95550.0,97458.3984375,95338.546875,95640.296875,13583
2023-05-25 04:45:00,95680.0,97052.5,95570.3984375,96727.3515625,8319
2023-05-26 04:45:00,96735.0,98171.0,96601.1484375,97881.796875,6694
2023-05-29 04:45:00,98050.0,98440.8984375,97475.0,97782.203125,4096
2023-05-30 04:45:00,97782.203125,97935.0,96900.0,97096.3984375,4289
2023-05-31 04:45:00,96906.3984375,98650.75,96650.1015625,97211.703125,13323
2023-06-01 04:45:00,97100.0,97988.953125,97099.0,97567.296875,3795
2023-06-02 04:45:00,97567.296875,98100.0,96067.546875,96368.5,7514
2023-06-05 04:45:00,96880.0,97187.953125,96502.1484375,96797.453125,3003
2023-06-06 04:45:00,96888.0,97249.5,96227.6484375,96636.25,4249
2023-06-07 04:45:00,97000.0,99230.5,96775.1484375,97553.1015625,10781
2023-06-08 04:45:00,97610.0,98599.0,96900.0,97077.3515625,9411
2023-06-09 04:45:00,97264.0,98597.8984375,97150.0,98390.953125,8604
2023-06-12 04:45:00,98335.1015625,99400.0,98152.75,98968.546875,7627
2023-06-13 04:45:00,99150.203125,100439.953125,99150.203125,99992.8515625,16655
2023-06-14 04:45:00,99993.0,100400.0,99400.0,100114.1484375,9786
2023-06-15 04:45:00,100099.0,100849.6015625,99711.0,100081.0,8297
2023-06-16 04:45:00,100083.0,100694.953125,99549.5,99892.5,9713
2023-06-19 04:45:00,100000.0,100651.0,99557.046875,99758.203125,4964
2023-06-20 04:45:00,100200.0,100200.0,98280.1015625,99348.203125,8914
2023-06-21 04:45:00,99648.0,100950.0,99484.3515625,100422.203125,10714
2023-06-22 04:45:00,100400.0,100900.0,99500.0,99868.453125,5564
2023-06-23 04:45:00,99977.0,99977.0,98880.046875,99492.046875,4670
2023-06-26 04:45:00,99799.953125,100079.8984375,99071.796875,99954.6484375,3699
2023-06-27 04:45:00,99900.0,100500.953125,99300.0,99591.25,7862
2023-06-28 04:45:00,99891.25,100699.8515625,99600.0,100387.203125,4178
2023-06-30 04:45:00,100598.0,101648.296875,100020.25,101260.5,9620
2023-07-03 04:45:00,101073.0,101888.0,99600.0,99899.453125,9229
2023-07-04 04:45:00,100480.0,100480.0,99000.0,99148.8984375,5734
2023-07-05 04:45:00,99600.0,100300.0,99099.0,100191.203125,5430
2023-07-06 04:45:00,100215.0,101888.0,100043.5,101306.5,8593
2023-07-07 04:45:00,101180.0,101974.953125,100680.0,101227.6484375,6354
2023-07-10 04:45:00,101177.0,101842.296875,100400.25,100602.8515625,5534
2023-07-11 04:45:00,100949.8984375,102214.8984375,100811.046875,101930.203125,7421
2023-07-12 04:45:00,101899.0,102494.953125,101652.703125,102231.3984375,6691
2023-07-13 04:45:00,102102.0,102300.0,101003.296875,101263.953125,3256
2023-07-14 04:45:00,101450.0,102400.0,101264.25,102141.203125,5109
2023-07-17 04:45:00,102141.203125,102341.203125,101820.5,101988.1484375,2065
2023-07-18 04:45:00,102000.0,102499.953125,101611.046875,102245.453125,3212
2023-07-19 04:45:00,102256.0,102990.0,102065.296875,102718.1484375,4956
2023-07-20 04:45:00,102500.0,102733.953125,101600.0,101896.203125,3770
2023-07-21 04:45:00,101999.296875,102300.296875,101550.0,102089.25,2112
2023-07-24 04:45:00,102100.0,103186.703125,101750.0,102723.5,4020
2023-07-25 04:45:00,102202.1015625,102699.0,102000.0,102525.796875,2053
2023-07-26 04:45:00,103000.0,103263.5,102000.0,102205.1484375,4152
2023-07-27 04:45:00,102625.0,102899.0,101870.3515625,102403.1484375,2542
2023-07-28 04:45:00,102050.203125,102792.1484375,101880.703125,102534.1484375,2608
2023-07-31 04:45:00,102270.0,103298.8515625,102100.0,102956.25,3198
