ticker,sector,signal_type,current_price,target_price,stop_loss,buy_strength,sell_strength,volume,position_size,risk_per_share,ema_50,ema_trend,rsi,inside_bar_data,timestamp
DABUR,FMCG,WEAK_SELL,517.7999877929688,517.25,518.1500244140625,0.0,0.03377753590666917,1159,2856,0.35003662109375,521.1575288625352,BEARISH,52.23884222736409,"{'has_inside_bar': True, 'inside_bar_type': 'BEARISH', 'mother_bar_high': 518.1500244140625, 'mother_bar_low': 517.25, 'inside_bar_high': 517.8499755859375, 'inside_bar_low': 517.7999877929688, 'breakout_signal': 'PENDING', 'bars_since_inside': 1}",08:31:35
HINDPETRO,Industrials,HOLD,390.79998779296875,390.79998779296875,390.79998779296875,0.0,0.0,1814,0,0.0,392.0890587998836,BEARISH,64.91223060614064,"{'has_inside_bar': True, 'inside_bar_type': 'BULLISH', 'mother_bar_high': 391.5, 'mother_bar_low': 390.5, 'inside_bar_high': 390.79998779296875, 'inside_bar_low': 390.54998779296875, 'breakout_signal': 'PENDING', 'bars_since_inside': 1}",08:31:35
BHEL,FMCG,HOLD,218.0399932861328,218.0399932861328,218.0399932861328,0.0,0.0,10203,0,0.0,219.40056894536588,BEARISH,34.26396037379993,"{'has_inside_bar': False, 'inside_bar_type': 'NONE', 'mother_bar_high': 0, 'mother_bar_low': 0, 'inside_bar_high': 0, 'inside_bar_low': 0, 'breakout_signal': 'NONE', 'bars_since_inside': 999}",08:31:35
SAIL,Metals,HOLD,122.12000274658203,122.12000274658203,122.12000274658203,0.0,0.0,2580,0,0.0,122.93892312636646,BEARISH,33.519734038018925,"{'has_inside_bar': True, 'inside_bar_type': 'BULLISH', 'mother_bar_high': 122.25, 'mother_bar_low': 121.9800033569336, 'inside_bar_high': 122.20999908447266, 'inside_bar_low': 122.05999755859375, 'breakout_signal': 'PENDING', 'bars_since_inside': 2}",08:31:35
TITAN,Miscellaneous,WEAK_BUY,3616.800048828125,3619.89990234375,3614.699951171875,0.029049404993755492,0.0,397,476,2.10009765625,3607.9965896897133,BULLISH,48.9830880192665,"{'has_inside_bar': True, 'inside_bar_type': 'BULLISH', 'mother_bar_high': 3619.89990234375, 'mother_bar_low': 3614.699951171875, 'inside_bar_high': 3617.0, 'inside_bar_low': 3615.800048828125, 'breakout_signal': 'PENDING', 'bars_since_inside': 1}",08:31:35
SBIN,Bank,HOLD,819.4500122070312,819.4500122070312,819.4500122070312,0.0,0.0,14568,0,0.0,825.065869570612,BEARISH,30.120526226771673,"{'has_inside_bar': True, 'inside_bar_type': 'BULLISH', 'mother_bar_high': 819.8499755859375, 'mother_bar_low': 818.8499755859375, 'inside_bar_high': 819.7000122070312, 'inside_bar_low': 818.9000244140625, 'breakout_signal': 'PENDING', 'bars_since_inside': 3}",08:31:35
DRREDDY,Pharmaceuticals,HOLD,1279.9000244140625,1279.9000244140625,1279.9000244140625,0.0,0.0,1982,0,0.0,1269.6809954430123,BULLISH,70.4984355195525,"{'has_inside_bar': False, 'inside_bar_type': 'NONE', 'mother_bar_high': 0, 'mother_bar_low': 0, 'inside_bar_high': 0, 'inside_bar_low': 0, 'breakout_signal': 'NONE', 'bars_since_inside': 999}",08:31:35
HDFCBANK,Bank,HOLD,1967.4000244140625,1967.4000244140625,1967.4000244140625,0.0,0.0,18337,0,0.0,1979.6768470310774,BEARISH,35.36586576155456,"{'has_inside_bar': True, 'inside_bar_type': 'BULLISH', 'mother_bar_high': 1969.300048828125, 'mother_bar_low': 1966.0, 'inside_bar_high': 1967.4000244140625, 'inside_bar_low': 1966.800048828125, 'breakout_signal': 'PENDING', 'bars_since_inside': 1}",08:31:35
HEROMOTOCO,Auto,HOLD,4999.5,4999.5,4999.5,0.0,0.0,3038,0,0.0,5061.280993150478,BEARISH,31.687242798353907,"{'has_inside_bar': True, 'inside_bar_type': 'BULLISH', 'mother_bar_high': 5005.89990234375, 'mother_bar_low': 4997.0, 'inside_bar_high': 5005.7998046875, 'inside_bar_low': 4998.2001953125, 'breakout_signal': 'PENDING', 'bars_since_inside': 2}",08:31:35
HFCL,Telecom,WEAK_SELL,73.75,73.66999816894531,73.87000274658203,0.0,0.08122562753497649,1013,8333,0.12000274658203125,73.88541333001191,BEARISH,72.45490927032509,"{'has_inside_bar': True, 'inside_bar_type': 'BEARISH', 'mother_bar_high': 73.87000274658203, 'mother_bar_low': 73.66999816894531, 'inside_bar_high': 73.80000305175781, 'inside_bar_low': 73.7300033569336, 'breakout_signal': 'PENDING', 'bars_since_inside': 2}",08:31:35
