ticker,sector,signal_type,signal_strength,long_score,short_score,current_price,entry_price,target_price,stop_loss,volume_ratio,rsi,position_size,risk_per_share,ema_trend,supertrend_signal,rsi_divergence,wave_trend_signal,stoch_signal,supertrend_value,supertrend_direction,macd_line,macd_signal,macd_histogram,wave_trend_wt1,wave_trend_wt2,stochastic_k,stochastic_d,hma_value,ema200_value,timestamp,ist_time,bars_analyzed
LAURUSLABS,Pharmaceuticals,HOLD,WEAK,0,3,877.4500122070312,877.4500122070312,877.4500122070312,877.4500122070312,2.25929798486053,29.112182013933833,0,0.0,BEARISH,NONE,NONE,NEUTRAL,CROSS_DOWN,,-1,-1.0002220304735374,-0.9708117550623254,-0.029410275411211995,-63.655933639758075,-51.316316793993025,28.422272369766308,31.398444954918475,879.7782397259672,881.2308501486248,11:36:13,16:06:13,375
BAJFINANCE,Finance,HOLD,WEAK,3,2,895.0499877929688,895.0499877929688,895.0499877929688,895.0499877929688,1.6033784972725673,52.34847270057984,0,0.0,BEARISH,NONE,NONE,NEUTRAL,NEUTRAL,,-1,-0.25889995506622654,-0.5222396605886697,0.2633397055224431,27.217898639902568,0.010222329736983227,66.55765983213678,61.47630812964692,893.916890486636,895.9558603605927,11:36:13,16:06:13,375
EXIDEIND,Auto,HOLD,WEAK,0,2,394.3500061035156,394.3500061035156,394.3500061035156,394.3500061035156,3.317842739491316,26.002844146379672,0,0.0,BEARISH,NONE,NONE,NEUTRAL,NEUTRAL,,-1,-0.7236896615879687,-0.32376700465549013,-0.3999226569324785,-66.05022885019535,-52.78513643158415,3.7012630389964656,7.781303843640646,398.205022062751,395.6026232886569,11:36:13,16:06:13,375
BEL,Aerospace & Defence,HOLD,WEAK,5,2,375.5,375.5,375.5,375.5,1.8266799066677755,44.06927733783438,0,0.0,BEARISH,NONE,NONE,CROSS_UP,NEUTRAL,,-1,-0.6060617653722034,-0.591619924880854,-0.014441840491349334,-60.81225846479406,-68.03611913939999,30.232360080055646,18.84089439937759,376.30108690604817,376.91357624685185,11:36:13,16:06:13,375
BLUESTARCO,FMCG,HOLD,WEAK,6,0,1920.0,1920.0,1920.0,1920.0,1.1855225770749305,44.45030981596166,0,0.0,BULLISH,NONE,NONE,CROSS_UP,NEUTRAL,,-1,-0.5698880555137293,1.0806538546670297,-1.650541910180759,-53.2264887476213,-54.76428701957019,29.733870520968846,20.943610491172816,1928.3572848007484,1917.470500481215,11:36:13,16:06:13,375
CHAMBLFERT,Industrials,HOLD,WEAK,2,1,561.0,561.0,561.0,561.0,1.3962395353028232,45.110449182407514,0,0.0,BULLISH,NONE,NONE,NEUTRAL,CROSS_DOWN,,-1,-0.23071499904472148,-0.11158731144689243,-0.11912768759782905,-33.744102775392754,-26.973449107291366,26.587030551397763,27.24840429053297,563.2486844271571,559.1444205504097,11:36:13,16:06:13,375
ABB,FMCG,HOLD,WEAK,8,2,5066.5,5066.5,5066.5,5066.5,2.0573002032387073,38.81653372651773,0,0.0,BEARISH,NONE,BULLISH,CROSS_UP,NEUTRAL,,-1,-8.34033497339533,-7.095420364855015,-1.2449146085403138,-67.0865938710391,-68.40063387478267,17.454126921038682,9.074122596904667,5073.581513421931,5107.996658003095,11:36:13,16:06:13,375
CESC,Miscellaneous,HOLD,WEAK,4,0,166.80999755859375,166.80999755859375,166.80999755859375,166.80999755859375,1.0544609725302743,51.487031092115544,0,0.0,BULLISH,NONE,NONE,NEUTRAL,NEUTRAL,,-1,0.0371284536890073,0.059476031520144426,-0.022347577831137125,-10.053667133311315,1.5119723422166205,54.66312586088242,58.4244669692875,167.3135531339931,165.37725433750072,11:36:13,16:06:13,375
BHEL,FMCG,HOLD,WEAK,0,4,218.07000732421875,218.07000732421875,218.07000732421875,218.07000732421875,1.365072424496231,43.939935316829214,0,0.0,BEARISH,NONE,NONE,NEUTRAL,NEUTRAL,,-1,0.08967304941990051,0.14505803250742386,-0.05538498308752335,-10.642542728595718,14.805249069258373,28.39495707295477,44.49569944632041,218.18088521667178,219.31854064841008,11:36:14,16:06:14,375
HINDPETRO,Industrials,HOLD,WEAK,1,5,390.75,390.75,390.75,390.75,1.3277073987294736,49.598687735302605,0,0.0,BEARISH,NONE,NONE,NEUTRAL,NEUTRAL,,-1,-0.038434453255376866,-0.00810788946369967,-0.030326563791677197,-17.853881602068135,3.40471521525102,21.763594176276058,28.24768648083609,390.7625402084736,391.78835133965237,11:36:14,16:06:14,375
