order_id,ticker,security_id,transaction_type,entry_price,quantity,target_price,stop_loss,timestamp,status,exit_order_id,exit_time
6525042210358,SUNTV,13404,BUY,655.0,15,661.55,650.09,2025-04-22 23:22:52,OPEN,,
3525042210115,SUNTV,13404,BUY,655.0,15,661.55,650.09,2025-04-22 23:29:13,OPEN,,
1052504238716,NTPC,11630,BUY,362.8,10,366.43,359.17,2025-04-23 04:57:16,OPEN,,
452504238599,WIPRO,3787,BUY,239.5,10,241.9,237.1,2025-04-23 04:57:17,OPEN,,
552504239225,SUNTV,13404,BUY,655.0,10,661.55,648.45,2025-04-23 04:57:17,OPEN,,
2125042312282,CANBK,10794,SELL,99.91,300,98.41,101.91,2025-04-23 05:14:32,CLOSED_NIFTY_MOVEMENT,9125042325492.0,2025-04-23 07:19:48
4125042310992,WIPRO,3787,BUY,240.25,193,243.85,236.65,2025-04-23 05:20:25,OPEN,,
9125042312902,WIPRO,3787,BUY,240.0,192,242.4,237.6,2025-04-23 05:31:22,OPEN,,
3125042313992,CANBK,10794,SELL,99.2,300,97.71,101.18,2025-04-23 05:36:58,CLOSED_NIFTY_MOVEMENT,5125042331382.0,2025-04-23 07:19:48
2125042319112,CANBK,10794,SELL,99.1,300,97.61,101.08,2025-04-23 05:39:30,CLOSED_NIFTY_MOVEMENT,6125042332742.0,2025-04-23 07:19:48
5125042318712,CANBK,10794,SELL,99.0,300,97.52,100.98,2025-04-23 05:40:22,CLOSED_NIFTY_MOVEMENT,112504238432.0,2025-04-23 07:19:48
6125042320922,PNB,10666,SELL,102.6,300,101.06,104.65,2025-04-23 05:46:15,CLOSED_NIFTY_MOVEMENT,2125042331672,2025-04-23 07:19:48
